"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XSNFEYI4","book","1928","Lâm, Nguơn̛ Hậu","Bài ca mói̛ Bá-Lý-Hề...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238341j","Chansons nouvelles sur Bá-Lý-Hề 2e éd","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:17","","20","","","","","","","","","","Lê Văn Thịnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-783","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357544320","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RI6ZTPQF","book","1928","Ðặng, Lê ̃ Nghi","Câu hát đối theo bạn cấy","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238097w","Chansons alternées des semeurs 4e éd","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:17","","24","","","","","","","","","","Lễ Văn Thinh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-745","Country: FR couv. ill. 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35752702d","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛tu ̛","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4KCDB284","book","1928","","Chàng Nhái Kiễn Tiên tho ̛ :  Bốn cũ soạn lại","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238088x","Histoire de la grenouille et de la princesse Kiễn Tiên, poème 3e éd","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:18","","43","","","","","Chàng Nhái Kiễn Tiên tho ̛","","","","","Lễ Văn Thịnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-746","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752014g","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","3e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EFBQDNSE","book","1928","Ðặng, Trọng Quòn̛","Hát đối đáp...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238295r","Chansons alternées 2e éd","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:18","","27","","","","","","","","","","Lê Văn Thinh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-784","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752768b","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKWAUYAS","book","1928","","Lý Công tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240012k","Histoire de Lý Cọng, poème","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:19","","32","","","","","","","","","","Lê Văn Thịnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1407","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35755196n","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MW942VPH","book","1928","","Phan-công tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239147n","Le Roman de Phan-công, poème","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:20","","46","","","","","","","","","","Le Vân Thịnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-687","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357577854","","","Ðặng, Lê ̃ Nghi","","Cao, Minh Chánh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXMIRXKN","book","1928","","Phi-Long diền nghĩa","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230375v","Phi-Long, roman","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:25","","554","","","","","","","","","","Lê Văn Thình dit Lê Phúơc̛ Thành","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-931","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357579594","","","","","Huỳnh, Công Giác","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHZHLS9A","book","1928","","Tam hạ nam đuờn̛g diễn nghĩa...","","","","","","Tam hạ nam duờn̛g, roman","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","","","232","","","","","","","","","","Lê Văn Thinh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-INDOCH-942","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35758524m","","","","","Trâǹ, Phong Săć","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"923ZRNNC","book","1928","Ðặng, Lê ̃ Nghi","Tho ̛nàng Út","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238111q","","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:26","","28","","","","","","","","","","Lê Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-754","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357527252","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RS3N7RPD","book","1928","","Tú ̛đại kỳ tho ̛... :  Bổn cũ diễn chánh...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239978z","L'Assassinat de Ðổng-Trách, poème 3e éd","1928","2021-05-27 14:56:35","2021-05-27 14:56:35","2021-05-27 14:56:26","","17","","","","","Tú ̛đại kỳ tho ̛...","","","","","Lê Văn Thịnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1408","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35758765r","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","In lần thú ̛ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
