"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5GBN64PM","book","","Ðặng, Lê ̃ Nghi","Ân-Tình Tho ̛... ,  Cuơ̂n thú ̛nhì","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42425459","11e éd","","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:47","","","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2489","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752695z","","","","","","","","","","","","","","","","","","","","","","In Iần thú 11","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UM9QX5Z2","book","","Lê, Văn Tiếng","Án Trầm-Quấc-Thanh...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230480h","Le Procès de Trầm-Quấc-Thanh. Théâtre","","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:48","","52","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-888","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754852q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLR5QHPT","book","","Lê, Son̛ Tòng","Giot máu chung tình ,  Cuốn thú ̛nhút̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244535j","Le Sang d'amour, fasc. 1. Théâtre","","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:48","","16","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-739","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754693r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RNJ68G3H","book","1937","Việt Ðông","Thanh guơm̛ hiêp sî...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242783p","","1937","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:50","","48","","","","","","","","","","Phạm Văn Thinh","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 4-INDOCH PIECE-42","Country: FR [L'épée du chevalier, roman.","","","http://catalogue.bnf.fr/ark:/12148/cb31575335h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q4IUWW6R","book","","Nguyễn, Công Manh","Tiềt-Giao đoạt ngọc...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238489q","Tiết-Giao s'empare du jade. Théâtre","","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:50","","62","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-3012","Country: FR ill., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35756105r","","","","","","","","","","","","","","","","","","","","","","9e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HYFXM4H","book","","Huỳnh, Viên Nghi","Tình đòi̛ hối-hận...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229538s","Repentir, roman","","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:51","","68","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-610","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754082f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CBEJG755","book","1927","Lê, Văn Tiếng","Án Bàng-Quí-Phi","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237511s","Le Procès de Bàng-Qui-Phi. Théâtre","1927","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:51","","39","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-535","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357548443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZKA7TM8","book","1928","Lê, Văn Tiếng","Án Bàng-Quí-Phi","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239078v","Le Procès de Bàng-Quí-Phi. Théâtre 5e éd","1928","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:52","","39","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-631","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754846s","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nàm","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5X922IX9","book","1928","Ðặng, Lê ̃ Nghi","Câu hát huê tình","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238482t","Chansons d'amour 2e éd","1928","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:52","","23","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-806","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752703r","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BWGMVH9V","book","1928","Nguyêñ, Công Chánh","Câu hò xây lúa","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238477h","Chansons dialoguées des décortiqueurs de riz 2e éd","1928","2021-05-26 09:02:53","2021-05-26 09:02:53","2021-05-26 09:02:53","","19","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-811","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357560671","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HJQT7BQ","book","1928","Phụng-Hoáng-Sang","Chuyện. Tiều lâm... chú bút : Phụng-hoàng-Sang,... [4e édition.]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42397825","","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:01","","","","","","","Chuyện. Tiều lâm... chú bút","","","","","Phạm-văn-Thình","Chô'lón","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1402","Country: FR Contes pour rire.","","","http://catalogue.bnf.fr/ark:/12148/cb311026286","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPY2I9AV","book","1928","Lê, Văn Tiếng","Cũư-Nhi mạo Châu-Kỳ","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230002x","Cũư-Nhi se déguise en garçon. Théâtre","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:02","","48","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-671","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357548563","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XL3NUJZC","book","1928","Phan, Ðình Long","Ðất bằng sấm dậy...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229305q","Bouleversement, roman","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:03","","79","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-641","Country: FR couv. ill. 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb357578068","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM7H68RX","book","1928","Phan, Ðình Long","Ðất bằng sóng dậy","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229348g","Tempête, roman","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:03","","79","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-745","Country: FR couv. ill. 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35757807m","","","","","","","","","","","","","","","","","","","","","","[2e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AGW7F39W","book","1928","","Lâm-Sanh Xuân-Nuơn̛g...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239982v","Histoire de Lâm-Sanh et Xuân-Nuơn̛g 2e éd","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:04","","32","","","","","","","","","","Phạm văn Thịnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1410","Country: FR ill. au titre, couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754441z","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6ZFUIXR","book","1928","","Lục-Vân Tiên","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230269s","Lục-Vân-Tiên, roman en vers","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:05","","51","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1383","Country: FR front., couv. ill. 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35755108j","","","","","","","","","","","","","","","","","","","","","","2e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7T3JAZA2","book","1928","Lâm, Hoài Nghĩa","Luư Kim-Ðính giải giá Thọ-châu...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238740h","Luư Kim-Ðính délivre le roi à Thọ-Châu","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:05","","48","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-755","Country: FR photogr. 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35754427d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AEJ2RVGF","book","1928","Trung-Trắc","Ngọn duốc của thiền...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42390583","","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:06","","17","","","","","","","","","","Phạm văn-Thình","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-638","Country: FR [Le flambeau de la pagode.","","","http://catalogue.bnf.fr/ark:/12148/cb31502020g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A93E7Y6S","book","1928","Ðặng, Lê ̃ Nghi","Nũ ̛trung báo oán :  tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237726x","La Vengeance d'une femme, poème 3e éd","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:06","","14","","","","","Nũ ̛trung báo oán","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-118","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357527132","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HBNUD66W","book","1928","","Quan-Âm diễn ca...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42374939","Histoire de Kouan-yin en vers","1928","2021-05-26 09:04:07","2021-05-26 09:04:07","2021-05-26 09:04:07","","32","","","","","","","","","","Phạm Văn Thình","Chọ ̛Lón̛","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-357","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35758101v","","","Hoàng, Tinh","","","","","","","","","","","","","","","","","","","3e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CZ8U3RTM","book","1928","","Sáu Nho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42383241","Histoire de Sáu Nho ̛, poème 3e éd","1928","2021-05-26 09:05:25","2021-05-26 09:05:25","2021-05-26 09:05:19","","","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-816","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357583409","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WE4WLR9D","book","1928","Ðinh, Thái Sơn","Sáu Trọng tho ̛...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238350h","Le Roman de Sáu Trọng, poème","1928","2021-05-26 09:05:25","2021-05-26 09:05:25","2021-05-26 09:05:20","","","","","","","","","","","","Phạm Văn Thình","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-774","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35752887w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
