"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PZZ9U62N","book","1936","Phạm, Văn Ðiêù","Biện chún̛g duy vật luận :  Matérialisme dialectique","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4246245h","","1936","2021-10-05 11:25:12","2021-10-05 11:25:12","2021-10-05 11:25:11","","","","","","","Biện chún̛g duy vật luận","","","","","impr. Thánh Mã̂u","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1518","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357577138","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EQCUAV3I","book","1936","Phạm, Văn Ðiêù","Xã-hội luận :  Socialisme","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42451505","Le Socialisme","1936","2021-10-05 11:25:16","2021-10-05 11:25:16","2021-10-05 11:25:16","","","","","","","Xã-hội luận","","","","","Phạm Văn Ðiều","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-335","Country: FR 1936 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb357577258","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS9HXW49","book","1937","Phạm, Văn Ðiêù","Biện-chún̛g Duy-vật-luận","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245708n","Le Matérialisme dialectique 2e éd","1937","2021-10-05 11:25:21","2021-10-05 11:25:21","2021-10-05 11:25:21","","","","","","","","","","","","Văn Hóa","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-389","Country: FR 1937 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35757714m","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NDUUYQL","book","1937","Phạm, Văn Ðiêù","Luợc̛ khảo về giai-cấp đấu-tranh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244958x","Etudes sommaires sur la lutte des classes","1937","2021-10-05 11:25:27","2021-10-05 11:25:27","2021-10-05 11:25:27","","","","","","","","","","","","Văn Hóa","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-373","Country: FR 1937 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35757717n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NSEMFE66","book","1937","Phạm, Văn Ðiêù","Luợc̛ Khảo về giai-cấp dấu-tranh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42447461","Etudes sommaires sur la lutte des classes","1937","2021-10-05 11:25:32","2021-10-05 11:25:32","2021-10-05 11:25:31","","","","","","","","","","","","Văn Hóa tho ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-437","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357577180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JWCMZPZ","book","1937","Phạm, Văn Ðiêù","Xã-hội chủ-nghĩa luận","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245147p","Sur le socialisme 2e éd","1937","2021-10-05 11:25:39","2021-10-05 11:25:39","2021-10-05 11:25:39","","","","","","","","","","","","Văn Hóa","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-385","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35757724x","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDVS9RVB","book","1937","","Cách mạng vô sản...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241375f","La Révolution prolétarienne, trad. du français","1937","2021-10-05 11:26:51","2021-10-05 11:26:51","2021-10-05 11:26:50","","","","","","","","","","","","Văn Hỏa Tho ̛xả","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-196","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35751674r","","","","","Hồng, Kỳ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7MIRVVGX","book","1937","Nguyển, Thế Xuơn̛g","Vì sao nhóm La Lutte chia rẽ ?","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245091r","Dissidence dans ""La Lutte","1937","2021-10-05 11:26:57","2021-10-05 11:26:57","2021-10-05 11:26:57","","","","","","","","","","","","Văn Hóa thó xả","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-513","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35756959w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFEZ9ELM","book","1937","","Tù ̛Ðệ-nhút̛ tói̛ Ðệ-tú ̛Quốc-tế","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245292v","De la 1re à la 4e Internationale","1937","2021-10-05 11:27:04","2021-10-05 11:27:04","2021-10-05 11:27:04","","","","","","","","Hiếu biết mói̛","","","","Văn Hóa tho ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-494","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357587663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SEC7G9J6","book","1937","Nguyễn, Thị Kim","Chánh đãng","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42451483","Les Partis politiques. Politique","1937","2021-10-05 11:27:09","2021-10-05 11:27:09","2021-10-05 11:27:09","","","","","","","","","","","","Văn Hóa","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-384","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35756967h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
