"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"EK6W2JW7","book","","","Lâm-Sanh Xuân-Nuơn̛g","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239082r","Histoire de Lâm-Sanh Xuân-Nuơn̛g en vers, poème","","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:51","","34","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-634","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357544429","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","4e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HTV9J5IY","book","1929","Nguyễn, Bá Thọ","Tra án Quách-Hoè, tác giả : Nguyễn-bá-Thọ...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240504r","","1929","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:51","","","","","","","Tra án Quách-Hoè, tác giả","","","","","Lê-thi-nam","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1000","Country: FR [Jugement de Quách-Hoè, théâtre.","","","http://catalogue.bnf.fr/ark:/12148/cb31013175m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JTL5BQA","book","1928","","Bạch Viên Tôn Các","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240139k","Histoire de la guenon blanche et de Tôn Các, poème","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:52","","28","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1412","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35751339d","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V8FQXXK5","book","1928","Ðặng, Tam Bá","Duơn̛g-Ngọc tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239103g","Le Roman de Duơn̛g-Ngọc, poème","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:52","","37","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-681","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357527419","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8HHZVG8M","book","1928","Ðinh, Thái Sơn","Hình tuớn̛g tinh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238349v","Traité de physiognomonie, en vers 3e éd","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:53","","8","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-775","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752881t","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QHKAN9E","book","1928","","Mài guơm̛ dạy vọ ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238094n","En aiguisant son sabre, il donne une leçon à sa femme, poème 2e éd","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:54","","16","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-749","Country: FR couv. ill. 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35755247q","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ETBTFAE6","book","1928","Ðặng, Tam Bá","Phụng-Kiêu Lý-Ðáng","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42390657","Le Roman de Phụng-Kiều et de Lý-Ðáng, poème","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:54","","29","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-682","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752742n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDX4VAFH","book","1928","","Thạch-Sanh Lý Thông","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42380952","","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:55","","","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-751","Country: FR 1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb357590025","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWX5V9EA","book","1928","","Thạch-Sanh Lý Thông","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239087t","Le Roman de Thạch-Sanh et de Lý-Thông, poème","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:56","","35","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-669","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35759003h","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FSYDGF25","book","1928","","Tiên-Bũư tho ̛tuồng","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42381035","Histoire de Tiên-Bũư, poème","1928","2021-05-27 07:21:11","2021-05-27 07:21:11","2021-05-27 07:20:57","","22","","","","","","","","","","Lê Thị Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-752","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35758713h","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
