"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"4WJNY4HW","book","1933","Khấu, Võ Nghi","... Án Bàng Quí-Phi...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4243242b","Le Procès de Bàng Quí-Phi, roman en vers","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:49","","18","","","","","","","","","","Nguyễn Quoi̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2264","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754350n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHZPI2B2","book","1933","Nguyễn, Trọng That; Củ ̛, Hoành Son̛; Củ ̛, Hoành Son̛","Bá Nha tủ ̛kỳ...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242974d","Histoire de Bá Nha et de Phạm Kim","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:50","","18","","","","","","","","","","Nguyễn Quói̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2401","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35757063w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UGEJHQE","book","1933","Cú Hoành-Son","Cú Hoành-Son,.... Câu hò xây lúa dói dáp...","","","","","","","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","","","18","","","","","","","","","","édit. Nguyen Quòi-Loan","Sàigòn","spa","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-INDOCH PIECE-2653","Country: VN [Chansons alternées des décortiqueurs de paddy, chants populaires.","","","http://catalogue.bnf.fr/ark:/12148/cb42929370w","","Musique traditionnelle arrangée. Indochine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DPKVT2ZE","book","1933","Củ ̛, Hoành Son̛","Câu hò xây lúa đối đáp...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244357f","","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:51","","18","","","","","","","","","","Ed. Nguyễn Quói̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2653","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35751865b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMY2YFCE","book","1933","","... Chàng-Nhái Kiễn-Tiên","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42432215","M. Le Crapaud et la Princesse Kiễn-Tiên, roman en vers","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:52","","18","","","","","","","","","","Nguyễn Quói̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2279","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752021r","","","","","Khấu, Võ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5I8LJGK","book","1933","","Chiêu-Quân cống Hồ","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241553j","Chiêu-Quân paie le tribut aux Hou, roman en vers","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:53","","18","","","","","","","","","","Nguyễn Quói̛-Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2295","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357520839","","","","","Khấu, Võ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WG2MAUIM","book","1933","","Con Tấm con Cám...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241556s","Histoire de Mlle Tấm et de Mlle Cám, poème","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:54","","18","","","","","","","","","","Nguyễn Quói̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2291","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35751826f","","","","","Khấu, Võ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76SZ6QFH","book","1933","","Duơn̛g-Ngọc","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241542r","Histoire de Duơn̛g-Ngọc, poème","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:54","","18","","","","","","","","","","Nguyễn Quói̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2292","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752364v","","","","","Khấu, Võ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGVSLKXD","book","1933","Củ ̛, Hoành Son̛","... Hạnh-Nguơn̛ cống Hồ","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242645n","La Belle Hạnh-Nguơn̛ envoyée chez les Hồ, poème","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:56","","18","","","","","","","","","","Nguyễn Quoi̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2488","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357518807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X2FVH8J8","book","1933","Khấu, Võ Nghi","Hát chèo ghe...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42429693","Chants alternés des mariniers","1933","2021-05-27 07:27:21","2021-05-27 07:27:21","2021-05-27 07:26:56","","18","","","","","","","","","","Nguyễn Quói̛ Loan","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2402","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357543541","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
