"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PTY6HJSW","book","1937","","Cách mạng vô sản...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241375f","La Révolution prolétarienne, trad. du français","1937","2021-05-27 12:37:12","2021-06-30 15:47:58","2021-05-27 12:37:12","","","","","","","","","","","","Văn Hỏa Tho ̛xả","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-196","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb35751674r; http://catalogue.bnf.fr/ark:/12148/cb35751674r","","","","","Hồng, Kỳ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LA4NY5AN","book","1937","","Tù ̛Ðệ-nhút̛ tói̛ Ðệ-tú ̛Quốc-tế","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245292v","De la 1re à la 4e Internationale","1937","2021-05-27 12:38:42","2021-05-27 12:38:42","2021-05-27 12:38:42","","","","","","","","Hiếu biết mói̛","","","","Văn Hóa tho ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-494","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357587663","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3VAA4X4","book","1937","Hồng, Phong","Chánh trị kinh tế học chỉ nam","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244824s","Guide pour l'étude de l'économie politique","1937","2021-05-27 12:43:09","2021-05-27 12:43:09","2021-05-27 12:43:09","","","","","","","","","","","","Ðai Chun̛g Tho ̛Cuộc","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-438","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753853t","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJ4BGEZC","book","1917","Cao, Hải Ðê ̉","Triết học thường thức","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4243662g","","1917","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:17","","56","","","1","","","","","","","Impr. de A. Dupas","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-1116","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb334866932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ME7N8YN8","book","1931","Nguyen, Thanh Long","Dạy 50 tro ̛ảo-thuật...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242799j","Manuel de prestidigitation","1931","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:17","","36","","","","","","","","","","impr. de A. Dupas","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-4345","Country: FR ill., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35756853j","","","","","","","","","","","","","","","","","","","","","","[2e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BADSVFJV","book","1936","Hoàng, Minh Ðẩu","Cháu rế thiếm dâu... ,  [T. 1]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42428564","Neveu et tante, roman","1936","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:19","","","","","","","","","","","","impr. de A. Dupas","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-4343","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357535472","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVLMZ29V","book","1936","Hoàng, Châu","Ðảng Phạm-Môn...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245956d","La Secte Phạm-Môn. Caodaïsme","1936","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:20","","33","","","","","","","","","","impr. de A. Dupas","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1534","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35753493z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYK76SXI","book","1936","","Tiểu thuyết mói̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239878m","Roman moderne, brochure publicité","1936","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:20","","15","","","","","","","","","","impr. A. Dupas","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2860","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35759478h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PPDQNC9Z","book","1937","Phan, Văn-Thiết","Án toà hộ","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240434j","Procès civils","1937","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:21","","202","","","","","","","","","","impr. A. Dupas","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-153","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35757898r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YM4VIYCE","book","1937","Chep, Paul; Phan, Văn-Thiết","Học chũ ̛Pháp không cần thầy ,  Quyển thú ̛nhút̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42449422","Le Français sans maître, manuel, fasc. 1","1937","2021-05-27 14:31:24","2021-05-27 14:31:24","2021-05-27 14:31:22","","","","","","","","","","","","impr. A. Dupas","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-410","Country: FR 1937 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35752057r","","","","","","Phan, Văn-Thiết","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
