"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FQTPXQA6","book","","Gaury","Aménagement des rizières situées en terrain salé. [Signé : Gaury.]","","","","","","","","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Aménagement des rizières situées en terrain salé. [Signé","","","","","","Saïgon, impr. de A. Portail. gr. in-8°, 5 p., fig","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (29)","Country: VN Office indochinois du riz. Archives de la riziculture.","","","http://catalogue.bnf.fr/ark:/12148/cb32150579h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S6D4GLF5","book","","Gallet, Charles","Charles Gallet. Ames et horizons","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, Impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YE-14266","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32141089g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7DHEYYCS","book","","Feunteun, Louis-Michel","Conduite à tenir en cas d'épizooties naissantes dans un troupeau. [Signé : Feuteun]","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Conduite à tenir en cas d'épizooties naissantes dans un troupeau. [Signé","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (27)","Country: VN Office indochinois du riz. Archives de la riziculture.","","","http://catalogue.bnf.fr/ark:/12148/cb32103322p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWJJTPI4","book","","Aurore, Yetty","La Culture physique, par la danseuse Yetty Aurore,...","","","","","","","4","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saigon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-V PIECE-11414","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb317433739","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HD45QFCH","book","","Souchard, Louis","Dix-huit mois de fonctionnement d'un dispensaire antilépreux à l'Institut Pasteur       de Saïgon","","","","","","","","2021-06-21 12:43:50","2021-06-21 12:43:50","","","13","","","","","","","","","","impr. de A. Portail","Saïgon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-T-1469 (4)","Country: VN Archives des Instituts Pasteur d'Indochine, octobre 1933. - Le titre de départ porte       en plus : ""Traitement par le savon total de Krabao, considérations sur la prophylaxie       de la lèpre.","","","http://catalogue.bnf.fr/ark:/12148/cb31387190f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XKHYF29A","book","","Huet, Gérard","Expertise de variétés de la province de Travinh, leurs caractéristiques botaniques,       culturales, industrielles et commerciales. [Signé : Le Chef de laboratoire, Huet.]","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Expertise de variétés de la province de Travinh, leurs caractéristiques botaniques,       culturales, industrielles et commerciales. [Signé","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (24)","Country: VN Office indochinois du riz. Archives de la riziculture.","","","http://catalogue.bnf.fr/ark:/12148/cb32262168m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2HQK3L3S","book","","Huet, Gérard","Expertise des variétés de la province de Bentre, leurs caractéristiques botaniques,       culturales, industrielles et commerciales. [Signé : G. Huet.]","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Expertise des variétés de la province de Bentre, leurs caractéristiques botaniques,       culturales, industrielles et commerciales. [Signé","","","","","","Saïgon, A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (16)","Country: VN Office indochinois du riz. Archives de la riziculture.","","","http://catalogue.bnf.fr/ark:/12148/cb322621678","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MR6BSTGK","book","","Hunier, Jean","Glanes , recueillies par Jean Hunier","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-30426 (1)","Country: VN N° 1.","","","http://catalogue.bnf.fr/ark:/12148/cb32265164z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGFIVD93","book","","Hunier, Jean","Glanes , recueillies par Jean Hunier","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, Portail (impr. de A. Portail)","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-30426 (3)","Country: VN N°. 3.","","","http://catalogue.bnf.fr/ark:/12148/cb322651659","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DP43FHG9","book","","Hunier, Jean","Glanes , recueillies par Jean Hunier. [Nos 4 et 5.]","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-30426 (4-5)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb322651670","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44TIIQZX","book","","Commun, R. L.","Un insecte (Hispa armigera ?) parasite du riz en Cochinchine. Moyens de le détruire.       [Signé : Le Chef de la division d'entomologie : R. L. Commun]","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Un insecte (Hispa armigera ?","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (25)","Country: VN Office Indochinois du riz. Archives de la riziculture.","","","http://catalogue.bnf.fr/ark:/12148/cb31962370s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBYBV7F2","book","","Serène, Raoul; Bernard, Maurice; Cendrieux, J.-J.; Pétain, Philippe","Juin-juillet-août 1940. Paroles du maréchal Pétain. Le Problème français, textes et       documents. Opinions indochinoises. Maurice Bernard. J.-J. Cendrieux. Raoul Serène","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 4-LB58-646","Country: VN La couv. porte : La France devant son destin.","","","http://catalogue.bnf.fr/ark:/12148/cb326268718","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"H3MSDZPA","book","","Michel, Georges","Mon soleil","","","","","","","16","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saigon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2 PIECE-3055","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32448717r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P28QSBDX","book","","Biard, J.","Notes sur les riz à aptitudes spéciales : riz de décrue et riz demi-flottants. [Signé       : J. Biard.]","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Notes sur les riz à aptitudes spéciales","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (26)","Country: VN Office indochinois du riz. Archives de la riziculture.","","","http://catalogue.bnf.fr/ark:/12148/cb318141428","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I278VHFA","book","","Hoang, Dang To","Hoang-Dang-To. La Nouvelle chiromancie occidentale et orientale avec ses révélations       complètes","","","","","","","8","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, A. Portail (impr. de A. Portail)","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-R-51120","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32249524c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DC3HEX3V","book","","Commun, R. L.","Office indochinois du riz. Archives de la riziculture... Essais de capture de crabes       de rizière au moyen de nasses et de bambous.  [Signé : R. L. Commun.]","","","","","","","4","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Office indochinois du riz. Archives de la riziculture... Essais de capture de crabes       de rizière au moyen de nasses et de bambous.  [Signé","","","","","","Saigon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (1)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb319623687","","","Office indochinois du riz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K9D9JNVS","book","","Huet, Gérard","Office indochinois du riz. Archives de la riziculture. De la Classification commerciale       des variétés du sud-indochinois conservées à l'expertise. [Signé : G. Huet.]","","","","","","","4","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Office indochinois du riz. Archives de la riziculture. De la Classification commerciale       des variétés du sud-indochinois conservées à l'expertise. [Signé","","","","","","Saigon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (36)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32262166x","","","Office indochinois du riz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4WW5KJE","book","","Angladette, André","[Office indochinois du riz. Archives de la riziculture]. La production des semences       en Cochinchine","","","","","","","4","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","","","","","","","Saïgon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (31)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31722649m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QSG7UPI7","book","","Le-Phat-Loi","Office indochinois du riz. Archives de la riziculture. Deuxième expertise de variétés       de la province de Soctrang. [Signé : Le-Phat-Loi.]","","","","","","","4","2021-06-21 12:43:50","2021-06-21 12:43:50","","","","","","","","Office indochinois du riz. Archives de la riziculture. Deuxième expertise de variétés       de la province de Soctrang. [Signé","","","","","","Saigon, impr. de A. Portail","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 4-S-4178 (42)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb323744898","","","Office indochinois du riz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
