"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6UHHTLBL","book","1943","Nguyêñ, Tươǹg Phượng","Nuớc̛ Ấn-Ðộ truớc̛ hồi Phật giáng","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245488n","L'Inde avant Bouddha, disc. pour le 1.3.36 à Hànôi","1943","2021-05-27 14:24:12","2021-05-27 14:24:12","2021-05-27 14:24:12","","","","","","","","","","","","Phật Học","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1345","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35756823m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HWCDYAEU","book","","","Au théâtre  municipal. La Cabale","","","","","","","24","2021-05-27 14:31:58","2021-05-27 14:31:58","","","24","","","","","","","","","","impr. commerciale C. Ardin","Saïgon (Cochinchine)","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YF PIECE-710","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33250910z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RJ6VSRVU","book","","Parmentier, Henri","Guides H. Parmentier. L'Art en Indochine . Office du tourisme... [I : le Cambodge,       histoire et religions. 2 : le Cambodge, évolution de l'architecture. 3 : Angkor Vat.       4 : Angkor Thom et les capitales successives. 5 : le Bayon. 6 : le Baphuon.]","","","","","","","6","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","Guides H. Parmentier. L'Art en Indochine . Office du tourisme... [I","","","","","","Saïgon, Sili, C. Ardin","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (1)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb325087905","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CNXUU28R","book","","Parmentier, Henri","Guides H. Parmentier. [N° 16.] L'Art en Indochine. Office du Tourisme. Chau Say Tevoda       et Thommanom...","","","","","","","16","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","","","","","","","Saïgon, impr. de Ardin","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (16)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32508794j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6A7RB8IB","book","","","Au théâtre  municipal. La Cabale","","","","","","","24","2021-05-27 14:34:18","2021-05-27 14:34:18","","","24","","","","","","","","","","impr. commerciale C. Ardin","Saïgon (Cochinchine)","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YF PIECE-710","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33250910z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IQPY8YVJ","book","","","Bibliographies cochinchinoises...","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","","","","","","","Saigon, impr. de C. Ardin","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Richelieu - Manuscrits - Magasin - Dép. des Mss","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31851293j","","","Bouchot, Jean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CA6EPWMX","book","","Bouchot, Jean","Bibliographies cochinchinoises, publiées sous la direction de Jean Bouchot","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","","","","","","impr. de C. Ardin","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Richelieu - Manuscrits - Magasin - Dép. des Mss.","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33265336d","","","","","","Bouchot, Jean","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XYCRR57","book","","Indochine française","Décret du 31 mars 1933 réglementant le pilotage en Indo-Chine . Arrêté du 30 décembre       1935, modifié par les arrêtés des 10 octobre 1936, 10 mars 1937 et 14 octobre 1937,       portant réorganisation du service du pilotage de la rivière de Saïgon","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","","","","","","C. Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Droit, économie, politique - Magasin - 8-F-39437","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33916065k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZCXF7DL","book","","École française d'Extrême-Orient","L'Ecole française d'Extrême-Orient de 1940 à 1945","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","31","","","","","","","","","","impr. de C. Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 16-R PIECE-940","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33886352b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIDL82FL","book","","Fédération indochinoise de scoutisme","Fédération indochinoise de scoutisme . Manuel en 4 fascicules. I (Aspirant). Premiers       pas sur la piste","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","64","","","","","","","","","","impr. C. Ardin","S. l.","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-54637 (1)","Country: XX","","","http://catalogue.bnf.fr/ark:/12148/cb33900269v","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GQK9ETB8","book","","Parmentier, Henri","Guides H. Parmentier. [N° 10] L'Art en Indochine. Office du Tourisme ,  Terrasse du roi lépreux Prah Palilay Temples 487 et 48 :  L'Art en Indochine. Office du Tourisme. Terrasse du roi lépreux Prah Palilay Temples       487 et 486","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","Guides H. Parmentier. [N° 10] L'Art en Indochine. Office du Tourisme ,  Terrasse du roi lépreux Prah Palilay Temples 487 et 48","","","","","impr. de Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (10)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb43904608t","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NZW28QZE","book","","Parmentier, Henri","Guides H. Parmentier. [N° 11] L'Art en Indochine. Office du Tourisme. Le Phnom Bakheng       et le Pr ,  Baksei Chamkron :  L'Art en Indochine. Office du Tourisme. Le Phnom Bakheng et le Pr. Baksei Chamkrong","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","Guides H. Parmentier. [N° 11] L'Art en Indochine. Office du Tourisme. Le Phnom Bakheng       et le Pr ,  Baksei Chamkron","","","","","impr. de Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (11)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb43904614r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RD32HAA6","book","","Parmentier, Henri","Guides H. Parmentier. [N° 7] L'Art en Indochine. Office du Tourisme. Terrasse des       éléphants ,  enceinte royale et Phimeanaka :  L'Art en Indochine. Office du Tourisme. Terrasse des éléphants. enceinte royale et       Phimeanakas","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","Guides H. Parmentier. [N° 7] L'Art en Indochine. Office du Tourisme. Terrasse des       éléphants ,  enceinte royale et Phimeanaka","","","","","impr. de Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (7)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb439045881","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65D4IMZG","book","","Parmentier, Henri","Guides H. Parmentier. [N° 8] L'Art en Indochine. Office du Tourisme. Grande place       d'Angkor Thom ,  Les Kleang et Prasats Suor Pra :  L'Art en Indochine. Office du Tourisme. Grande place d'Angkor Thom. Les Kleang et       Prasats Suor Prat","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","Guides H. Parmentier. [N° 8] L'Art en Indochine. Office du Tourisme. Grande place       d'Angkor Thom ,  Les Kleang et Prasats Suor Pra","","","","","impr. de Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (8)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb43904598b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDX9TI5I","book","","Parmentier, Henri","Guides H. Parmentier. [N° 9] L'Art en Indochine. Office du Tourisme ,  Groupe de Prah Pith :  L'Art en Indochine. Office du Tourisme. Groupe de Prah Pithu","","","","","","","","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","Guides H. Parmentier. [N° 9] L'Art en Indochine. Office du Tourisme ,  Groupe de Prah Pith","","","","","impr. de Ardin","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (9)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb43904604f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T8IGCZCQ","book","","Parmentier, Henri","Guides H. Parmentier. L'Art en Indochine. Office du tourisme... [N° 12. Prah Khan       et Neak Pean. N° 13. Prasat Kravan, Prê Rup et Mébon oriental.]","","","","","","","2","2021-05-27 14:34:18","2021-05-27 14:34:18","","","","","","","","","","","","","","Saigon, C. Ardin","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-52365 (12)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32508791h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
