"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"QHRB4P5E","book","","Ricquebourg, Jean","Un poète indochinois, Jean Ricquebourg, 1868-1914","","","","","","","","2021-06-22 08:00:03","2021-06-22 08:00:03","","","31","","","","","","","","","","impr. de J. Aspar","Saïgon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YE PIECE-10566","Country: VN Amicale bourbonnaise. - Recueil de morceaux choisis de Jean Ricquebourg, précédé d'une       étude anonyme sur son oeuvre et d'un sonnet ""A mon père"", signé : ""Félix Ricquebourg.","","","http://catalogue.bnf.fr/ark:/12148/cb31215002z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4JEHGLV9","book","","Ricquebourg, Jean; Ricquebourg, Félix","Un poète indochinois Jean Ricquebourg (1868-1914)","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k12697846","","8","2021-06-22 08:00:03","2021-06-22 08:00:03","2021-06-22 07:59:58","","","","","","","","","","","","","Saigon, impr. de J. Aspar","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YE PIECE-10566","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32570870b","","","Amicale bourbonnaise","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZMDSEY5","book","","Bourrin, Claude","Le Vieux Tonkin :  le théâtre, le sport, la vie mondaine","","","","","","","","2021-06-22 08:00:03","2021-06-22 08:00:03","","","","","","","","Le Vieux Tonkin","","","","","J. Aspar impr. d'Extrème orient","Saïgon Hanoï","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Richelieu - Arts du spectacle - Magasin - LJ W-49 (2)","Country: VN 25 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb397734979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UVFT9GPP","book","1928","Ponty, Jacques; Cendrieux, Jehan","La maîtresse sauvage :  pièce coloniale en 3 actes, en prose","","","","","","","1928","2021-06-22 08:00:03","2021-06-22 08:00:03","","","106","","","1","","La maîtresse sauvage","","","","","J. Aspar","Saïgon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YTH-38641","Country: VN in-8. Représentée pour la première fois, au théâtre municipal de Saïgon, le 3 février 1928.","","","http://catalogue.bnf.fr/ark:/12148/cb319204655","","","","","","","","","","","","","","","","","","","","","","Édition originale","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8TQZJAG","book","1932","Bernard, Paul","L'Indochine et la crise :  le problème du riz","","","","","","","1932","2021-06-22 08:00:03","2021-06-22 08:00:03","","","160","","","1","","L'Indochine et la crise","","","","","Impr. J. Aspar","Saigon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 4-LK10-1109","Country: VN 27 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb33048557w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K4J2RWD","book","1935","Bourrin, Claude","Le Vieux Tonkin, le théâtre, le sport, la vie mondaine de 1884 à 1889","","","","","","","1935","2021-06-22 08:00:03","2021-06-22 08:00:03","","","","","","","","","","","","","","Saïgon, J. Aspar","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 4-LK10-814","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31858639j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPZ3LRY3","book","1936","Ricquebourg, Jean","La Terre du dragon, 2e édition, augmentée de ""la Tortue"", comédie annamite","","","","","","","1936","2021-06-22 08:00:03","2021-06-22 08:00:03","","","239","","","","","","","","","","J. Aspar","Saïgon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-7983","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31215001m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIQW6ENB","book","1936","Pham, Van Ky","Pham-Van-Ky. Une voix sur la voie, poèmes. Préface de Raphaël Barquisseau","","","","","","","1936","2021-06-22 08:00:03","2021-06-22 08:00:03","","","149","","","1","","","","","","","Aspar","Saigon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YE-22227","Country: FR couv. ill. in-16.","","","http://catalogue.bnf.fr/ark:/12148/cb32525710c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9229NDIT","book","1937","Auburtin, Jacques","La Belle vie, étude de milieux saïgonnais","","","","","","","1937","2021-06-22 08:00:03","2021-06-22 08:00:03","","","","","","","","","","","","","","Saïgon, J. Aspar","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-84354","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31739640d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3VXRHIX2","book","1937","Sédang, Henri","Panoramas et prismes : mirage asiatique","","","","","","","1937","2021-06-22 08:00:03","2021-06-22 08:00:03","","","","","","","","Panoramas et prismes","","","","","J. Aspar","Saïgon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2-1554","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31343787d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
