"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"K2G7DRYX","book","1927","Mông-Ky, V. (Mlle) Auteur du texte","Kiêp hông-nhan. Dich giu, Mlle V. Mông-Ky","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k42369217","Kiêp hông-nhan. Dich giu, Mlle V. Mông-Ky -- 1927 -- livre","1927","2021-02-25 09:25:14","2021-02-25 09:25:14","2021-02-25 09:25:14","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","/Users/vy/Zotero/storage/MBUZMHIV/bpt6k42369217.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VSBH6GHE","book","","Lê, Kim Tỵ","Khủ ̛ám hồi minh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240637g","Vers la lumière. Caodaïsme","","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:22","","","","","","","","","","","","Impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1243","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357546091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUXB4XXY","book","","Lê, Son̛ Tòng","Quan-âm du địa-phủ","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244510q","La Visite de Kouan-yin aux enfers, chansons sur l'air du vọng-cố","","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:22","","16","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2741","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754695f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SHK84E7","book","","Nguyễn, Bá Thời","Tiết-Nhon̛-Quí ra đói̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242988f","La Naissance de Tiết-Nhon̛-Quí, poème","","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:23","","18","","","","","","","","","","Impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2420","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35755995h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I3SH2ICU","book","","Cao Dai","Tôn-giáo Ðại-Ðồng kinh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242695j","Ecrits caodaïstes","","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:24","","","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-4074","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35752598q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TWN297WK","book","","Nguyen, Thanh Long","Trần-Thê-Mỹ bầt nhận thê-nhi","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244513z","Trần Thê-Mỹ ne reconnaissant plus sa femme et ses enfants, chansons sur l'air vọng-cổ","","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:25","","16","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2740","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35756911w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"868XCMMR","book","1927","Minh-Lý Dạo","Minh-Lý Dạo. Bô cáo Tam-tông miếu. 1ère édition","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237534s","","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:25","","16","","","","","","","","","","impr. de Bao-Ton","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-491","Country: FR La Pagode Tam-tông.","","","http://catalogue.bnf.fr/ark:/12148/cb30950736w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"96YIUHPI","book","1927","Bách Sính","Câu chuyên tink","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237516v","","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:26","","28","","","1","","","","","","","impr. de Báo-Tôn","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-376","Country: FR in-16. Une conversation sur l'amour.","","","http://catalogue.bnf.fr/ark:/12148/cb320258950","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RI3EBIQ5","book","1927","Trâǹ, Hưũ Ðộ","Hồi trống tụ ̛do...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241477m","A l'appel de la liberté","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:27","","","","","","","","Tụ ̛do tòng tho ̛","5","","","Bảo Tôn̛","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-4632","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35759695n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PSUMIBS6","book","1927","Hội Hun̛g Nghiệp","Hun̛g-Nghiệp hội-xã","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237565b","Office du développement industriel et commercial des Indochinois","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:28","","","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-372","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357537406","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPT2EMIS","book","1927","Trâǹ, Huy Liệu","Một bầu tâm-sụ ̛...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42366268","","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:29","","","","","","","","","","","","Impr. Bảo-Tôn","Sàigòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-61","Country: FR [Mes pensées intimes.","","","http://catalogue.bnf.fr/ark:/12148/cb31489189w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D66HM8X3","book","1927","Hồ, Quấc Khanh","Nuớc̛ trí phủ non tình :  nhon̛ tình tiểu thuyết","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4236794f","","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:30","","72","","","","","Nuớc̛ trí phủ non tình","","","","","Impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-7","Country: FR La suite manque.","","","http://catalogue.bnf.fr/ark:/12148/cb35753441q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JYHDEBG6","book","1927","Hoàng, Tich Chu","Quân-chủ vói̛ châu Âu :  sau cuộc chiến-tranh 1914-1918","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42375178","La Monarchie et l'Europe après la guerre de 1914-1918","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:31","","","","","","","Quân-chủ vói̛ châu Âu","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-530","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753618r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSJMSG6R","book","1927","Huỳnh Thị Bảo Hòa; Huỳnh, Thúc Kháng; Bùi, Thế Mỹ; Tản Ðà","Tây-phuơn̛g mỹ-nhon̛...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42292076","Femme d'Occident, roman","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:32","","76","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-566","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357540457","","","","","","Huỳnh, Thúc Kháng; Bùi, Thế Mỹ; Tản Ðà","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KF58CQDY","book","1927","Trâǹ, Hưũ Ðộ","Thần quyến lọi̛...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4228160x","Le Génie du droit","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:33","","","","","","","","Tu ̛do tòng tho ̛","9","","","Bảo tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-57 (3)","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357597023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47AAP36Q","book","1927","","Tình là dây oan...","","","","","","L'Amour est une entrave, roman","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","","","106","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-INDOCH-620","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35759514j","","","","","Trung, Tín","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JQXQYHYG","book","1927","Huȳnh Khàć Dụng","Toàn tâm kiếm... ,  Fasc. 1","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4228997q","Toàn tâm kiếm, roman d'amour et d'analyse psychologique","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:33","","","","","","","","","","","","impr. Bảo Tôn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-578","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35754006b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EJHQURSG","book","1927","Phạm-Văn-Thình","Vo ̛-Tòng sát tấu... ngu oi xuất laán, Phạm-văn-Thình. 1re édition","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4228847g","","1927","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:34","","68","","","","","","","","","","impr. de Báo-Tôn","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-530","Country: FR Vo ̛-Tòng assassine sa belle-soeur.","","","http://catalogue.bnf.fr/ark:/12148/cb31099429c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8YF2BJ3","book","1928","Duơn̛g, Minh Ðạt","Anh hùng hội đào duyên","","","","","","Roman","1928","2021-03-30 08:01:35","2021-03-30 08:01:35","","","62","","","","","","","","","","Bao Ton","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-975","Country: FR La suite manque.","","","http://catalogue.bnf.fr/ark:/12148/cb357523567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B8TGXT38","book","1928","Ðặng, Thúc Liêng; Ðặng, Công Thắng","Cao-Ðài đàm, quái-giáo nghị","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229694r","Propos sur le Caodaïsme","1928","2021-03-30 08:01:35","2021-03-30 08:01:35","2021-03-30 08:01:35","","54","","","","","","","","","","impr. Bảo Tồn","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-852","Country: FR ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752752z","","","","","","Ðặng, Công Thắng","","","","","","","","","","","","","","","","2e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPGIW2VH","book","1928","Phan-Ðình-Long","Cây kim chỉ-nam, tác giá Phan-đình-Long...","","","","","","","1928","2021-03-30 08:02:00","2021-03-30 08:02:00","","","","","","","","","","","","","impr. de Bao-Ton","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-788","Country: FR Ngâ-năm dân-trí tho ̛-xâ. - 1re éd.","","","http://catalogue.bnf.fr/ark:/12148/cb31099473v","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
