"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FVYMYVW4","book","","","Institution Taberd, Saïgon (Association sportive Stella Taberd). Basket-ball, volley-ball,       foot-ball , quelques indications d'après les règles officielles","","","","","","","","2021-05-26 14:48:20","2021-05-26 14:48:20","","","12","","","","","","","","","","impr. de Chan-Thanh","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 16-V PIECE-292","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb332558744","","","Institution Taberd","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMY3HAA","book","","Hoàng, Minh","Cha chồng nàng dâu","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244442b","Beau-père, belle-fille, roman","","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:16","","","","","","","","","","","","impr. Chấn Thanh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-263","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753543p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"68WDASBX","book","1936","Châu-Kim-Dăng","Châu-Kim-Dang,... 40 rédactions corrigées à l'usage de l'enseignement franco-annamite...       2e édition","","","","","","","1936","2021-05-26 14:48:20","2021-05-26 14:48:20","","","","","","","","","","","","","","Saigon, impr. de Chan-Thanh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-R-42757","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31935005m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33ENK58D","book","1936","Hội Phật Gi đà","Linh nguyên tụ ̛, Cho ̛-đũi, Sài-gòn :  Ðiêu lệ tạm thòi̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242190r","Statuts de l'Association bouddhique Gi-đà","1936","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:17","","","","","","","Linh nguyên tụ ̛, Cho ̛-đũi, Sài-gòn","","","","","impr. Chân Thanh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2771","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357537735","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKBQZ87D","book","1936","Ngô, Thị Ngọc","Vần quấc ngũ ̛A B C","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245103h","Abécédaire","1936","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:18","","","","","","","","","","","","Impr. Chân Thành","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-304","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35755686q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72DYYWK6","book","1937","","Tịnh độ pháp văn...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42451342","Prières bouddhiques","1937","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:18","","","","","","","","","","","","impr. Chân Thành","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-350","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35759497s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GABXU8RN","book","1937","Luơn̛g, Joseph Ngọc Luông","Văn luân-biên :  cours de dissertation à l'usage des écoles primaires et primaires supérieures","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42345499","Cours de dissertation à l'usage des écoles primaires et primaires supérieures","1937","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:19","","","","","","","Văn luân-biên","","","","","impr. Chấn Thanh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-2386","Country: FR 1937 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb357551374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5QTTNWUG","book","1939","Quách, Cang; Edouard, Sambuc; Ðặng, Văn Cuớn̛g","Nam-nũ ̛khả-dộc loại-dục vệ-sinh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4232102w","L'Anatomie, la physiologie et la pathologie des organes de reproduction. Médecine","1939","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:20","","317","","","","","","","","","","impr. Chân Thanh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-2178","Country: FR fig., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357580963","","","","","","Edouard, Sambuc; Ðặng, Văn Cuớn̛g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57FNCSKT","book","1943","Ðoàn, Văn Hai","Chuơn̛g-trình minh-lý phuớc̛-huệ và sụ ̛cúư-rổi","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245530s","Programme de clarification, de charité, de révélation et de salut. Catéchisme","1943","2021-05-26 14:48:20","2021-05-26 14:48:20","2021-05-26 14:48:20","","","","","","","","","","","","Impr. Chấn Thanh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1088","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357530768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ6E7VNG","book","1939","","Hồi-Duơn̛g Nhon̛-Quả, su ̛tích Lâm-Tu ̛-Kỳ... và Tuâ̛n Ngọc-Lịch minh-kinh...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42376967","","1939","2021-05-27 08:18:33","2021-05-27 08:18:33","2021-05-27 08:18:33","","","","","","","","","","","","","Sóc-Trăng","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-2864","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31489354s","","","","","Trâǹ, Phong Săć","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
