"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"7QLRUWSW","book","","Trần-Quang-Long","Bể ái sóng cồn","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4228852s","","","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:24","","","","","","","","","","","","Impr. Cô-Hậu","Sàigòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-580","Country: VN [L'océan d'amour, roman. Fasc. 2.","","","http://catalogue.bnf.fr/ark:/12148/cb314894186","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R33QS8GD","book","","Hậu, Jacques Văn Giỏi","Ðoán vận mạng...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4243493b","Astrologie","","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:25","","32","","","","","","","","","","impr. Cô Hậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2236","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35753366s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GJM6W7H6","book","","V. T. T","Nhũ̂ng muôn vạch tròi̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42389740","Une Injustice criante, conte","","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:26","","45","","","","","","","","","","impr. Cô Hậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1674","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357602780","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IEFGAZMI","book","","Khắc, Sanh","Sách dạy đo tay đoán vận mạng","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4243323b","Connaître la destinée par les lignes de la main. Chiromancie","","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:26","","12","","","","","","","","","","impr. Cô Hậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2206","Country: FR fig., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357543065","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3LDG296G","book","1927","Nguyễn, Văn Giêng","Thok̛iêm thòi̛. Thấy Sáu Cậu Ba, năm 1927, tác giâ, Nguyễn-văn Giêng dit Năm-Mung...       [1re édition.]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237371c","","1927","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:27","","","","","","","","","","","","impr. de Co-Hau","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-520","Country: FR [Poème.","","","http://catalogue.bnf.fr/ark:/12148/cb310139180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3QRDDTT3","book","1927","Nguyễn, Văn Giêng","Le 18 décembre 1927. Tác gîá, Nguyên-văn-Giêng, dit Nảm-Mụng. Khai hoàn thị hội       đầu xảo... [1re édition.]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4237376f","","1927","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:28","","","","","","","","","","","","impr. de Cô-Hậu","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-548","Country: FR [La Foire de Saigon.","","","http://catalogue.bnf.fr/ark:/12148/cb31013917n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTX2CR4X","book","1928","Uư Thuyết-Lễ","Cúư thế...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238495f","","1928","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:29","","","","","","","","","","","","Impr. Cô-Hậu","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-560","Country: FR [Sauver le monde.","","","http://catalogue.bnf.fr/ark:/12148/cb315149183","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LUWNUQ3R","book","1928","","Thạch-Sanh Lý-Thông tho ̛ :  Bổn củ sũa̛ lại","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238639h","","1928","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:29","","24","","","","","Thạch-Sanh Lý-Thông tho ̛","","","","","Impr. Cô hậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-603","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35759004v","","","Lê, Văn Chất","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6WB4PS3N","book","1928","Hội tuơn̛g tế thủy xuởn̛g công nghệ","Thủy-Xuớn̛g công-nghệ tuơn̛g-tế","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42383619","Amicale des capelans (chefs d'équipe) des divers ateliers de l'Arsenal de la Marine  de Saïgon","1928","2021-05-26 10:11:31","2021-05-26 10:11:31","2021-05-26 10:11:30","","","","","","","","","","","","impr. Cô-Hậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-785","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753801k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3FP7A9EM","book","1930","Cangioc-Sport","Société sportive ""Cangioc-Sport"". Statuts","","","","","","","1930","2021-05-26 10:11:31","2021-05-26 10:11:31","","","","","","","","","","","","","Impr. Cô-Hâu","Sàigòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1293","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33869769g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
