"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"UUZBC2JD","book","1932","Kiếm, Ăn Auteur du texte","Ghét đòi̛ ! / tác giả Kiếm Ăn","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k42436434","Ghét đòi̛ ! / tác giả Kiếm Ăn -- 1932 -- livre","1932","2021-02-25 09:22:15","2021-02-25 09:22:15","2021-02-25 09:22:15","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","/Users/vy/Zotero/storage/S6VIFXD9/bpt6k42436434.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZMK4CDIY","book","","","Dương mai hoàn :  sách nói vê ̀tánh nó và cách dùng","","","","","","","","2021-04-01 06:55:29","2021-04-01 06:55:29","","","9","","","","","Dương mai hoàn","","","","","Impr. Huỳnh Kim Danh","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-TE18-1015","Country: VN 14 cm. 1912 d'après la déclaration du Dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb359505001","","Thérapeutique","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TAF2DZIV","book","","","Syllabaire annamite","","","","","","","","2021-04-01 06:55:29","2021-04-01 06:55:29","","","16","","","","","","","","","","Impr. Huỳnh Kim Danh","Sài gòn","fre vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X PIECE-2434","Country: VN 17 cm. 1915 d'après la déclaration de Dépôt.","","","http://catalogue.bnf.fr/ark:/12148/cb35950736k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GKSXA763","book","","","Bạch xà diêñ nghiã","","","","","","","19","2021-04-01 06:55:29","2021-04-01 06:55:29","","","84","","","2","","","","","","","Impr. Huyǹh Kim Danh, puis Impr. F.H. Schneider","S.l.","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-24564 (1)","Country: VN 23 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35950427s","","","Trâǹ, Công Ðôǹg","","Ðinh, Văn Ðâủ","","","","","","","","","","","","","","","","","In lâǹ thư ́ba","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FAVMN4LP","book","1915","","Bach-Xà diễn nghĩa ,  [Fascicule 1]","","","","","","","1915","2021-04-01 06:55:29","2021-04-01 06:55:29","","","","","","","","","","","","","impr. Huynh-Kim-Danh","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-Y2-24564 (1)","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb359756943","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U6RILTV4","book","1912","Dõ̂-Văn-Tam","A.B.C annamite. Phép đánh vãn chữ quốc-ngư̂ có phụ thêm một bài huấn nam cách       ngôn, publié par Dõ̂-Văn-Tam,...","","","","","","","1912","2021-04-01 06:55:29","2021-04-01 06:55:29","","","","","","","","","","","","","","Saigon, Huynh-Kim-Danh","mul","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X PIECE-2504","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32034299p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G9DACSN7","book","1912","","Ân tình thi vịnh :  cuôń thư ́nhưt́","","","","","","","1912","2021-04-01 06:55:29","2021-04-01 06:55:29","","","87","","","","","Ân tình thi vịnh","","","","","Impr. Huỳnh Kim Danh","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-484","Country: VN 24 cm. La p. de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb356993228","","","Huỳnh, Kim Danh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I39JR5RQ","book","1912","Nguyên, Quang Minh","Bảy bài tho ̛và tuồng, en quốc-ngủ ̛, par Nguyên-Quang-Minh, publié par Ðậng-Thanh-Kim","","","","","","","1912","2021-04-01 06:55:29","2021-04-01 06:55:29","","","","","","","","","","","","","bán in [impr. de] Huỳnh-Kim-Danh","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-521","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb310136781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7FUVU3XA","book","1912","Nguyên, Quang Minh","Bảy bài thơ và tuôǹg en quôć ngư ̃","","","","","","","1912","2021-04-01 06:55:29","2021-04-01 06:55:29","","","12","","","","","","","","","","Bản in Huỳnh Kim Danh","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-521","Country: VN 17 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35708194n","","","Ðặng Thanh Kim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RR7WU8NN","book","1912","Nguyêñ, Chánh Săt́","Huấn phụ diễn ca (tho ̛dạy làm dâu) và có vấn A. B. C., par Nguyễn-Chánh-Sắt,...","","","","","","","1912","2021-04-01 06:55:29","2021-04-01 06:55:29","","","","","","","","","","","","","Huỳnh-Kim-Ðảnh","Saigon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-334","Country: VN [Sur l'éducation de la bru, poème précédé d'un syllabaire.","","","http://catalogue.bnf.fr/ark:/12148/cb31013205q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
