"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MMYNNJBV","book","","","Patronage laïque cochinchinois","","","","","","","","2020-12-18 08:52:06","2020-12-18 09:00:41","","","","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","","Country: VN 24 cm. Notice rédigée d'après un vol. publié en 1923.","","","http://catalogue.bnf.fr/ark:/12148/cb37588523t","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HHUKJNDT","book","","","Protéa nữ trung hào kiệt, sự mầu nhiệm tại đền Malmort","","","","","","","","2020-12-18 08:52:06","2020-12-18 09:01:06","","","","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-379","Country: VN couv. ill. 19 cm. 1918, d'après la déclaration de Dépôt Légal. Contient le texte chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb35693430q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F8BY6YUF","book","","Nguyễn, Công Quá","Thơ Vân Tiên cờ bạc","","","","","","","","2020-12-18 08:52:06","2020-12-18 08:59:44","","","22","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-460","Country: VN 19 cm. La p. de titre porte : titre en nôm. 1918, d'après la déclaration de Dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35950637n","","","Nguyễn, Hữu Tài","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDM9H9GP","book","","","Tứ dân tứ thú","","","","","","","","2020-12-18 08:52:06","2020-12-18 09:00:30","","","7","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-462","Country: VN couv. ill. 19 cm. La couv. porte : titre en nôm. 1915, d'après le Dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35710683n","","","Nguyễn, Thành Công","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6XYJP56","book","1912","","Lý Công thơ: bổn cũ soạn lại","","","","","","","1912","2020-12-18 08:52:06","2020-12-18 08:54:52","","","44","","","","","Lý Công thơ","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-386","Country: VN 24 cm. La p. de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb357062426","","","Đặng, Thanh Kim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YID26SWA","book","","L. Q.N; H. Q.L","Bài ca bát tài tử","","","","","","","","2020-12-18 08:52:06","2020-12-18 08:58:30","","","36","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-220","Country: VN couv. ill. 24 cm. La couv. porte : titre en chinois. 1913, d'après la déclaration de Dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb359504284","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5ZBLT5BU","book","1913","Giang, Hưng Long","Nhị thập tứ hiếu diễn ca","","","","","","[24 exemples de piété filiale, poème] en quôc-ngie par Giang-Hu'ung-Long,...","1913","2020-12-18 08:52:06","2020-12-18 08:56:18","","","","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-301","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32162919f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LV6N5FAV","book","1913","Trần, Khắc Kỷ","Thầy Chùa ve gái bị bắt","","","","","","","1913","2020-12-18 08:52:06","2020-12-18 08:56:44","","","","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-424","Country: VN [Un bonze amoureux arrêté.","","","http://catalogue.bnf.fr/ark:/12148/cb314892059","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UX3TMD2P","book","1914","Võ, Sâm","Ân tình đạo vị : cuốn thứ nhì","","","","","","","1914","2020-12-18 08:52:06","2020-12-18 08:58:10","","","49","","","","","Ân tình đạo vị","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-483","Country: VN 25 cm. La p. de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb357181251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QRIE8JGA","book","1914","Nguyễn, Văn Sỏi","Thạch Sanh Lý Thông","","","","","","","1914","2020-12-18 08:52:06","2020-12-18 08:59:56","","","47","","","","","","","","","","Imprimerie de J. Nguyễn Văn Viết","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-262","Country: VN couv. ill. 23 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35711121z","","","Hữu, Dực; Nguyễn, Jules Văn Viết","","","Nguyễn, Văn Sỏi","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","",""
