"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"48LYZGUU","book","1937","Truơn̛g Tần-Ngọc","Phép nuôi gà...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245880q","","1937","2021-05-27 07:00:49","2021-05-27 07:00:49","2021-05-27 07:00:49","","26","","","","","","","","","","Impr. Khoa-Học","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-540","Country: FR Khoa-Học tùng-tho ̛. [L'élevage des poules, manuel. - Collection ""Sciences.","","","http://catalogue.bnf.fr/ark:/12148/cb31502156r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DFNK9TPZ","book","1939","Hoàng, Tâm","Âu-châu chiến-sụ ̛ :  mặt thiệt nuớc̛ Ðúc̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245731w","Le Vrai visage de l'Allemagne, 2e guerre mondiale. Guerre","1939","2021-05-27 07:00:54","2021-05-27 07:00:54","2021-05-27 07:00:54","","","","","","","Âu-châu chiến-sụ ̛","","","","","Khai Trí tùng tho ̛","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1498","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357536131","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TF4TEDTD","book","1938","Cao Dai","Giác Thế Hôì Minh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244935x","Prières caodaïstes","1938","2021-05-27 07:01:13","2021-05-27 07:04:16","2021-05-27 07:01:13","","","","","","","","","","","","Khoa Học","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-508","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb35752501h; http://catalogue.bnf.fr/ark:/12148/cb35752501h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GXN8XQ7L","book","1938","Cao Dai","Huấn-Nũ ̛Thuyết Minh...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245982w","Conseils aux femmes","1938","2021-05-27 07:01:34","2021-05-27 07:04:20","2021-05-27 07:01:34","","","","","","","","","","","","impr. Khoa Học","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-567","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb35752508x; http://catalogue.bnf.fr/ark:/12148/cb35752508x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9A4DVZUH","book","","","Nét Xuân","","","","","","L'Ombre du printemps. Mélanges","","2021-05-27 07:01:55","2021-05-27 07:01:55","","","18","","","","","","","","","","Impr. Khoa học","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - FOL-INDOCH PIECE-27","Country: FR ill., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35755559j","","","Văn, Thọ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXG95NUY","book","","Phạm, Huy Dụng","Nghễ nuôi ong","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42459268","Industrie apicole. Manuel","","2021-05-27 07:02:15","2021-05-27 07:02:15","2021-05-27 07:02:15","","23","","","","","","","","","","Khoa Học Phổ Thông","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-545","Country: FR ill., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35757624n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKN533T8","book","1932","Giã, Phong Trăng","Phật-học dị-giải Quyển thú ̛nhì","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4246133z","L'A. B. C. de Bouddhisme","1932","2021-05-27 07:03:06","2021-05-27 07:04:10","2021-05-27 07:03:06","","","","","","","","","","","","s.n.","Sa Ðéc","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1479","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb35753171t; http://catalogue.bnf.fr/ark:/12148/cb35753171t","","","","","Tịnh, Quang (Cu ̛sĩ)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X35E85LH","book","","Nguyễn, Văn Hùng","Thuốc lá","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245906h","Le Tabac. Manuel","","2021-05-27 07:03:59","2021-05-27 07:03:59","2021-05-27 07:03:55","","30","","","","","","","","","","Khoa Học Phổ Thông","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-539","Country: FR ill., couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357571604","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVERVGYK","book","","Tran, Thuc Ky","Vấn-đề phân...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42404297","","","2021-05-27 07:03:59","2021-05-27 07:03:59","2021-05-27 07:03:56","","48","","","","","","Khoa-học tùng tho ̛","","","","Khoa-Học Phố-Thông","Sàigòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-269","Country: VN [Le problème des engrais, manuel. - Bibliothèque de vulgarisation.","","","http://catalogue.bnf.fr/ark:/12148/cb314894829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3IIWYZNI","book","1930","Truơn̛g Ðăng-Tĩnh","Notions préliminaires de la chimie","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k141414h","","1930","2021-05-27 07:03:59","2021-05-27 07:03:59","2021-05-27 07:03:56","","","","","1","","","Khoa-Học tùng-thu ̛","","","","Impr. Khoa-Học","Sàigòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-Z-2058 (1)","Country: VN fig. en noir et en coul. in-16.","","","http://catalogue.bnf.fr/ark:/12148/cb31502074d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
