"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JMYV5INT","book","1924","Lê-Mai","Truờn̛g sanh, ""par"" Lê-Mai...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4236728f","","1924","2021-03-30 14:15:42","2021-03-30 14:15:42","2021-03-30 14:15:42","","","","","","","","","","","","impr. de Quan-Dong-An","Cholon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-321","Country: FR [La Longévité.","","","http://catalogue.bnf.fr/ark:/12148/cb30783858g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HMAVN5A8","book","","Lê-Mai","Tận thế... ""par"" Lê-Mai,...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239278j","","","2021-04-01 07:40:20","2021-04-01 07:40:20","2021-04-01 07:40:10","","","","","","","","","","","","impr. de Lê-Mai","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-140","Country: FR [La fin du monde.","","","http://catalogue.bnf.fr/ark:/12148/cb30783852d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8YLMARL","book","1924","Lê-Mai","Ái-tình, ngôi hàng, câp sách, ""par"" Lê-Mai","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4236214p","","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","2021-04-01 07:40:10","","","","","","","","","","","","impr. de Lê-Mai","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-291","Country: FR [L'Amour.","","","http://catalogue.bnf.fr/ark:/12148/cb30783841r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AWCIJG5","book","1924","Lê, Mai","Bài ca cải lương","","","","","","","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","","","24","","","","","","","","","","Lê Mai âń quán","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-625","Country: VN 18 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb357053845","","","","","","","","","","","","","","","","","","","","","","In lâǹ thư ́hai","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7ZRF9NTW","book","1924","Le Mai","Bai ca cai luong (Morceaux de chants modernes)","","","","","","","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","","","","","","","","","","","","","","Saigon, Le Mai Au Quan","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-625","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32357883m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BJF5PQA6","book","1924","Lê Mai","Bai ca cai luong (poésies nouvelles)","","","","","","","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","","","","","","","","","","","","","","Saigon, Le Mai","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-626","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb323578859","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SX2K2K8P","book","1924","Lê, Mai","Bài ca cải lương :  cuôń nhưt́, cuôń nhì in chung lại","","","","","","","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","","","16","","","","","Bài ca cải lương","","","","","Lê Mai âń quán","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-626","Country: VN 18 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb357053876","","","","","","","","","","","","","","","","","","","","","","In lâǹ thư ́hai","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NUMGBE4T","book","1924","Lê, Mai","Bài dòn̛ cải luơn̛g","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4228093z","Morceaux de musique moderne","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","2021-04-01 07:40:13","","15","","","","","","","","","","Lê Mai ần quán","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-290","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35754621w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ZHRZSD8","book","1924","Lê, Mai","Bản dòn̛ kiềm","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229066c","Morceaux de musique pour guitare. Recueil","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","2021-04-01 07:40:14","","64","","","","","","","","","","Lê Mai ấn quán","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-549","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357546227","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M4QLA97H","book","1924","Lê Mai","Băn dón Kiêm, par Lê-Mai... (Morceux de chant et de musique). 2e édition","","","","","","","1924","2021-04-01 07:40:20","2021-04-01 07:40:20","","","","","","","","","","","","","","Saïgon, Le Mai","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-648","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb323578870","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
