"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"W66PNVYV","book","1912","Bouvard, Pierre; Nguyêñ, Văn Vĩnh","Notions d'histoire de France et d'histoire d'Annam. Ouvrage conforme aux programmes       officiels..., par Pierre Bouvard, professeur en Cochinchine, inspecteur des écoles       de la province de Bentré ; Nguyen-Van-Vinh, instituteur au cours supérieur de l'école       provinciale de Bentré","","","","","","","1912","2021-06-21 12:33:02","2021-06-21 12:33:02","","","","","","","","","","","","","","Saïgon, impr. moderne L. Héloury et S. Montégout","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-525","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb318604932","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9JRL6BZ","book","1916","Nguyêñ, Kim Ðính","Nguyêñ Hưũ Trí và nội bọn dâý loạn phá khám lơń Sài gòn trong đêm 14 rạng ngày       15 Février 1916. Tòa phán đoán cuộc hành khuyêt́","","","","","","","1916","2021-06-21 12:33:02","2021-06-21 12:33:02","","","18","","","","","","","","","","Impr. moderne S. Montégout","Sài gòn","vie","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Droit, économie, politique - Magasin - 8-FN-1457","Country: VN 24 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35708031g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAHL6AML","book","1916","Nguyên, Ðăng Huởng; Qúi, Philippe","Vợ nhỏ dánh [sic pour đánh] vợ lơń :  roman moderne, truyện tích đơì nay","","","","","","","1916","2021-06-21 12:33:02","2021-06-21 12:33:02","","","32","","","","","Vợ nhỏ dánh [sic pour đánh] vợ lơń","","","","","Impr. moderne S. Montégout","Sài gòn","vie","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-412","Country: VN couv. ill. 24 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35707524b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66HEPWVI","book","1917","Lê, Quang Liêm; Hô ̀, Biêủ Chánh","Vì nghĩa quên nhà :  tuôǹg hát một thư ́","","","","","","","1917","2021-06-21 12:33:02","2021-06-21 12:33:02","","","38","","","","","Vì nghĩa quên nhà","Société d'enseignement mutuelle de Long-Xuyên","","","","Impr. moderne S. Montégout","Sài gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YTH-35860","Country: VN 24 cm. Trad. française en regard du texte vietnamien.","","","http://catalogue.bnf.fr/ark:/12148/cb37609608z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3WIMZKPV","book","1919","Trương, Mạnh Tự","Nhưt́ nộ tranh thương :  một lâǹ giận ra tranh thương mãi","","","","","","","1919","2021-06-21 12:33:02","2021-06-21 12:33:02","","","22","","","","","Nhưt́ nộ tranh thương","","","","","Impr. moderne L. Héloury et S. Montégout","Sài gòn","vie","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V PIECE-20358","Country: VN 15 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb357129175","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6D5MV57U","book","1921","Nguyêñ, Tùng Bá","Bài ca mơí lục tài tư ̉có thêm có bơt́","","","","","","","1921","2021-06-21 12:33:02","2021-06-21 12:33:02","","","38","","","","","","","","","","Impr. moderne L. Héloury et S. Montégout","Sài gòn","vie","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-540","Country: VN couv. ill. 23 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35708275n","","","P. Phươć R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4PX59XH7","book","1922","Lê, Mai","Bài ca cải lương","","","","","","","1922","2021-06-21 12:33:02","2021-06-21 12:33:02","","","6","","","","","","","","","","Impr. moderne L. Héloury et S. Montégout","Sài gòn","vie","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-593","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35705379k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CD5NBPTN","book","1931","Cordier, Georges","Cours de langue annamite, par G. Cordier. 1re année. Textes","","","","","","","1931","2021-06-21 12:33:02","2021-06-21 12:33:02","","","","","","","","","","","","","","Hanoï, impr. classique et moderne Tan-Dan-Thu Quan, 93, rue du Coton","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X-18724 (1)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31967942d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KA7F3S82","book","1932","Cordier, Georges","Cours de langue annamite, par G. Cordier. 2e année. Textes divers","","","","","","","1932","2021-06-21 12:33:02","2021-06-21 12:33:02","","","","","","","","","","","","","","Hanoï, impr. classique et moderne Tan-Dan-Thu-Quan, 93, rue du Coton","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X-18724 (2)","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb319679443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJ2U33CG","book","1936","Baudrit, André","L'Amiral Pallu de La Barrière (1828-1891)...","","","","","","","1936","2021-06-21 12:33:02","2021-06-21 12:33:02","","","","","","","","","","","","","","Saïgon, Impr. moderne","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 4-LN27-72739","Country: VN Extrait du Bulletin de la Société des études indochinoises. T. XI, 2e trim. 1936.","","","http://catalogue.bnf.fr/ark:/12148/cb31775553b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
