"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5DWCA5KB","book","1906","","Truyện đời xưa","","","","","","","1906","2020-11-08 12:38:14","2020-12-18 08:31:04","","","100","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-278","Country: VN 19 cm. La p. de titre porte : titre en nôm. Texte vietnamien seul.","","","http://catalogue.bnf.fr/ark:/12148/cb359508287","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","In lần thứ hai","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FT4VLRYL","book","1906","","Truyện đời xưa. In lần thứ hai","","","","","","Fables et légendes annamites encore inédites, publiées par... Ðinh Thái Són","1906","2020-11-08 12:38:14","2020-12-18 08:35:58","","","","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","mul","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-278","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb30343520f","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJUDQYW4","book","1907","Đặng, Lễ Nghi","Ân tình thơ","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:36:37","","","","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-288","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb30298148s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3DJVKX8","book","1907","Đặng, Lễ Nghi","Ân tình thơ: cuốn thứ nhì","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:32:03","","","78","","","","","Ân tình thơ","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-288","Country: VN 24 cm. La p. de titre porte : titre en chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb35950511p","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L6P87F2Y","book","1907","Đặng, Lễ Nghi","Lục Vân Tiên","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:32:42","","","72","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-359","Country: VN 24 cm. La p de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35950606c","","","Ðinh, Thái Sơn","","","Đặng, Lễ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4U9INMPE","book","1907","Đặng, Lễ Nghi","Lục Vân Tiên. Bổn cũ soạn lại","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:36:42","","","","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-359","Country: VN [Luc-van-Tien, poème.","","","http://catalogue.bnf.fr/ark:/12148/cb319914039","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M3E2L3M2","book","1907","Đặng, Lễ Nghi","Sử công diễn ca","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:34:14","","","","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-287","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb302981494","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQN59ET5","book","1907","","Sử công diễn ca: cuốn thứ nhứt","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:33:08","","","52","","","","","Sư ̉công diêñ ca","","","","","Imprimerie Nam Tai","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-287","Country: VN 19 cm. La p. de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb359507357","","","Ðinh, Thái Sơn","","Đặng, Lễ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTF2XTYF","book","1907","Đặng, Lễ Nghi","Thạch-Sanh, Lý-Thông","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:36:47","","","","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-114","Country: VN [Thach-Sanh, Ly-Thong, poème annamite.","","","http://catalogue.bnf.fr/ark:/12148/cb31991414z","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3AV5YUI","book","1907","Đặng, Lễ Nghi","Thạch-Sanh, Lý-Thông","","","","","","","1907","2020-11-08 12:38:14","2020-12-18 08:36:51","","","","","","","","","","","","","Imprimerie Nam Tai","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-128","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb319914159","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
