"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5IQM5ZW2","book","1928","Hô ̀, Biêủ Chánh","Chút phân linh dinh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229830h","Une Vie vagabonde, roman","1928","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:23","","67","","","","","","","","","","impr. de Nguyễn Khắc","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-929 (1)","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753398d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZLX3C4G6","book","1928","Lê, Văn Giỏi","Nhụt̛ dụng tù ̛hàn...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229353s","","1928","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:23","","","","","","","","","","","","impr. de Nguyễn Khàc","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-814","Country: FR ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754791b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IS2QS3N","book","1928","Lê, Văn Giỏi","Nhụt̛ dụng tù ̛hàn...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42286397","Modèles d'actes en matière indigène 2e éd","1928","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:24","","","","","","","","","","","","impr. de Nguyễn Khắc","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-999","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35754792p","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S249JZRG","book","1929","Ðiện Xa Tuơn̛g Tế Hội","Lòi̛ quảng cáo cùng chu ̛quí huynh đồng nghiệp...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239183h","Déclarations faites devant le Comité de l'Amicale des chauffeurs","1929","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:25","","","","","","","","","","","","Impr. Nguyễn Khắc","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-935","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35752909c","","","Ðặng, Ngọc Phan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WE2JZSFB","book","1929","Hermitte, L.","Société d'enseignement mutuel de Cochinchine. Comment nous instruire. Conférence de       M. L. Hermitte,... donnée au siège social à Saigon, le 25 Avril 1929","","","","","","","1929","2021-07-13 12:47:36","2021-07-13 12:47:36","","","","","","","","","","","","","","Saigon, impr. de Nguyên-Khac","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-R PIECE-18062","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32240687c","","","Société d'enseignement mutuel de Cochinchine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D993XVHL","book","1930","Ðinh, Công Chánh","Hiếu đế liêm tiết","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230960g","Exhortations au bien, morale","1930","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:27","","","","","","","","","","","","impr. de Nguyên Khắc","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1541","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35752918b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F74K25D6","book","1930","Trần-Ðình-Bảo","Thái duơn̛g và thái âm kinh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42420126","","1930","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:29","","","","","","","","","","","","impr. de Nguyễn-Khắc","Sàigòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1524","Country: FR [Livres taoïstes.","","","http://catalogue.bnf.fr/ark:/12148/cb314890888","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T3IIF4HE","book","1920","Nguyễn, Văn Chiểu","Thể thao","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240974s","","1920","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:30","","","","","","","","","","","","impr. Nguyễn-Khằc","Saïgon","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1118","Country: FR [Sport.","","","http://catalogue.bnf.fr/ark:/12148/cb31013903z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3NTTRZYT","book","1930","Nguyêñ, Chánh Săt́","Tiểu-Hống-Bào Hải-Thoại (traduction en quốc ngữ du roman chinois : La Petite Robe       rouge de cour de Hai-Thoi), par Nguyễn-Chánh-Sắt. Fascicule 4","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42330676","","1930","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:36","","","","","1","","Tiểu-Hống-Bào Hải-Thoại (traduction en quốc ngữ du roman chinois","","","","","Impr. Nguyễn-Khắc","Sài Gòn","vie","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1263","Country: VN In-8°.","","","http://catalogue.bnf.fr/ark:/12148/cb31013228c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RRJ88IWE","book","1930","Marianus","Truyên thánh Antôn Ðệ Bađua...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42328919","Saint Antoine de Padoue. Catholicisme","1930","2021-07-13 12:47:36","2021-07-13 12:47:36","2021-07-13 12:47:36","","96","","","","","","","","","","impr. de Nguyễn Khắc","Sài Gòn","fre","","","","","BnF Catalogue général (http:// catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1290","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35755306d","","","","","Tâm, J. Ph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
