"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"E6STP6SX","book","1911","Nguyễn, Rang; Nguyễn, Thành Công","Sáu Trọng thơ","","","","","http://catalogue.bnf.fr","Transcrit en quoc-ngu pour la première fois par Ng. H. Rang et Cong-Thanh","1911","2020-12-18 09:19:10","2020-12-18 09:20:45","2020-12-18 09:19:10","","","","","","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","Catalogue en ligne de la Bibliothèque nationale de France","","","","","","Publisher: Impr. L. Royer (Saïgon)","","/Users/vy/Zotero/storage/EX3WAA38/cb31013693x.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3ELFFRMG","book","1913","Nguyễn, Chánh Sắt; Nguyễn, An Khương","Ngũ Hổ Bình Tây","","","","","http://catalogue.bnf.fr","Trad. en quốc ngũ ̛par Nguyễn-Chánh-Sằt [puis par Nguyễn-an-Khuơn̛g]","1913","2020-12-18 09:21:08","2020-12-18 09:22:14","2020-12-18 09:21:08","","","","","","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","Catalogue en ligne de la Bibliothèque nationale de France","","","","","","Publisher: impr. saïgonnaise L. Royer (Saïgon)","","/Users/vy/Zotero/storage/BCDVPABN/cb359756854.html","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P8VKPDYJ","book","1913","Nguyễn, An Khương; Nguyễn, Chánh Sắt","Ngũ hổ Bình Tây","","","","","","","1913","2020-12-18 09:22:43","2020-12-18 09:24:02","","","","","","5","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-24555 (1,3,5,6,8)","Country: VN 24 cm. La couv. porte : titre en chinois. Les vol. 2, 4, 7 manquent.","","","http://catalogue.bnf.fr/ark:/12148/cb35950625n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4EZVEH6Z","book","1914","Nguyễn, Jules Văn Viết","Ðại Pháp Quấc thỉnh hoàng đế Thành Thái ngự du Gia Định","","","","","","","1914","2020-12-18 09:22:48","2020-12-18 09:25:54","","","26","","","","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-185","Country: VN 24 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35718003f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5PN7X94Q","book","1914","Lê, Hoằng Mưu","Hà-Hương phong-nguyệt truyện","","","","","","roman fantastique","1914","2020-12-18 09:26:42","2020-12-18 09:27:40","","","","","","6","","Hà-Hương phong-nguyệt truyện","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","mul","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-61977","Country: VN À partir du fasc. 4 l'adresse porte : ""impr. de J. Viêt.","","","http://catalogue.bnf.fr/ark:/12148/cb31000325p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4ALXAUKB","book","1913","Lê, Văn Tỏ","Tuồng trá hôn","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239077f","","1913","2020-12-18 09:26:42","2020-12-18 09:27:57","2020-12-18 09:26:42","","","","","","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-629","Country: FR [Le Mariage frauduleux, pièce de théâtre, 3 actes, texte ancien remanié par Lê-Văn-Tó.","","","http://catalogue.bnf.fr/ark:/12148/cb30808330f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C2RQ6N2Q","book","1914","Nguyễn, Trọng Quyền","Hát đối đáp","","","","","","","1914","2020-12-18 09:26:48","2020-12-18 09:28:14","","","","","","","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-214","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb310138281","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGXZPJMH","book","1914","","Hát đối đáp kim thời hay lắm: hát giọng chèo ghe","","","","","","","1914","2020-12-18 09:29:53","2020-12-18 09:31:41","","","30","","","","","Hát đôí đáp kim thơì hay lăḿ","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-214","Country: VN couv. ill. 24 cm. La p. de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35950550k","","","Hữu, Nhịn; P. Phước","","Nguyễn, Trọng Quyền","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F7SZBFRQ","book","1914","Nguyễn, An Khương","Tàn Đường diễn nghĩa, cuốn thứ nhứt","","","","","","","1914","2020-12-18 09:29:53","2020-12-18 09:36:10","","","50","","","","","Tàn đươǹg diêñ nghĩa","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-24560","Country: VN 24 cm. La couv. porte : titre en chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb35950751g","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7E6USUTV","book","1914","","Tây du diễn nghĩa","","","","","","","1914","2020-12-18 09:29:53","2020-12-18 09:32:38","","","","","","6","","","","","","","Imprimerie Saigonnaise L. Royer","Sài Gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-25116 (3,4,12,13,14,15)","Country: VN couv. ill. 24 cm. La couv. porte : titre en chinois. Existent les vol. 3, 4, 12, 13, 14, 15.","","","http://catalogue.bnf.fr/ark:/12148/cb35950754h","","","Nguyễn, Hữu Phước","","Trần, Phong Sắc","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","",""
