"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YJQ9BC4P","book","1904","Indochine française","Arrêté [du 27 août 1904] fixant la composition du Conseil des notables et son rôle dans la commune annamite en Cochinchine","","","","","","","1904","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","1","","","","","","","Impr. saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Droit, économie, politique - Magasin - 8-O2W PIECE-221","Country: VN 24 cm. Textes en français, quốc-nguʼ, caractères chinois et cambodgien. - Corrections mss.","","","http://catalogue.bnf.fr/ark:/12148/cb35336439s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HT2DQQ8U","book","1904","Nguyêñ, Ðăng Cao","Cours de morale en quâć [quôć] ngư ̃","","","","","","","1904","2021-01-04 14:50:57","2021-01-04 14:50:57","","","78","","","","","","","","","","Impr. saigonnaise","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-R-20099","Country: VN 24 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb359506380","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LE7UD7PP","book","1904","Nguyêñ, Ðăng Cao","Cours de morale en quồc-ngũ ̛par Nguyên-đăng-Cao,...","","","","","","","1904","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Impr. saïgonnaise","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-R-20099","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31013269z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8XAATBBW","book","","","Géographie physique, économique et historique du royaume du Cambodge","","","","","","","","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","impr. de Ménard et Rey (Impr. Saigonnaise)","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-15382","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33403310b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I85JGMIE","book","","","Bulletin de la Société des études indo-chinoises de Saigon","","","","","","","","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Imprimerie saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb365862101","","","Société des études indochinoises","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PQ7BXCYJ","book","1905","Nguyêñ Ánh","Document. Eloge funèbre de Mgr d'Adran","","","","","","","1905","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Imprimerie saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN Publications de la Société des études indo-chinoises.","","","http://catalogue.bnf.fr/ark:/12148/cb365788866","","Pigneau de Béhaine ,  Pierre Joseph  ( 1741-1799 )","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FYMDAQ59","book","1905","Lefeuvre, Et","Etude des terres de la Cochinchine, par M. Et. Lefeuvre,...","","","","","","","1905","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Imprimerie Saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN Publications de la Société des études indo-chinoises.","","","http://catalogue.bnf.fr/ark:/12148/cb36580901j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CL9L7266","book","1905","Bourayne","Extraits des études en vue de la codification des lois civiles annamites, par M. Bourayne,...","","","","","","","1905","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Imprimerie saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN Publications de la Société d'etudes indo-chinoises.","","","http://catalogue.bnf.fr/ark:/12148/cb36575736n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2V82QIA","book","1905","","Inscription de la montagne de Vinh-Te","","","","","","","1905","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Imprimerie Saïgonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN Publications de la Société des études indo-chinoises.","","","http://catalogue.bnf.fr/ark:/12148/cb365875494","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVTQGPQ5","book","1905","","Notice sur la pagode appelée Wott Préas Buonn Muc en Cambodgien...","","","","","","","1905","2021-01-04 14:50:57","2021-01-04 14:50:57","","","","","","","","","","","","","Imprimerie saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN Publications de la Société d'études indo-chinoises.","","","http://catalogue.bnf.fr/ark:/12148/cb36588192d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IH4DKFKH","book","1905","Albrecht","Reconnaissance de l'ancienne chaussée Khmer d'Angkor au Mékong par Kompong-Torn, par M. Albrecht,...","","","","","","","1905","2021-01-04 14:51:35","2021-01-04 14:51:35","","","","","","","","","","","","","Imprimerie Saigonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - SMITH LESOUEF R-6200","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb36574521t","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWZDAJID","book","1905","Postal, E.","Théâtre libre colonial. Comédies de moeurs indo-chinoises : cabinet de gouverneur ; la popote ; leurs mères. École municipale de jeunes filles","","","","","","","1905","2021-01-04 14:51:35","2021-01-04 14:51:35","","","62","","","","","Théâtre libre colonial. Comédies de moeurs indo-chinoises","","","","","Impr. saïgonnaise","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YF-1444","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb311395701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78TLCKZC","book","1906","Nguyêñ, Tâń Phươć","Ðào Trinh truyện","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","55","","","","","","","","","","Impr. saigonnaise","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-275","Country: VN 22 cm. La p. de titre porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35950530z","","","","","","Nguyêñ, Tâń Phươć","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFSV3X2S","book","1906","Nguyêñ, Tâń Phươć","@ Ðào-trinh truyện bổn củ soạn lại, par Nguyễn-Tấn-Phuơc̛","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","","","","","","","","","","","Impr. saigonnaise","Saigon","und","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-275","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb310137053","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ES4B5B2Q","book","1906","","Géographie physique, économique et historique du royaume du Cambodge ,  1er fascicule :  Monographie de la province de Pursat","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","65","","","","","Géographie physique, économique et historique du royaume du Cambodge ,  1er fascicule","","","","","Impr. saïgonnaise","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-15382 (2,1)","Country: FR tabl.","","","http://catalogue.bnf.fr/ark:/12148/cb35958811f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UT7YL2H5","book","1906","Nguyêñ, An Khương","Phản đuờn̛g diễn nghĩa. Traduit par Nguyễn-an-Khuơn̛g, publié par Trần-Quang-Nghiem...","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","","","","","","","","","","","Impr. saigonnaise","Saigon","mul","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","","Country: VN Fasc. II. [Phãn-Ðuờn̛g, roman traduit du chinois. Fasc. 1.","","","http://catalogue.bnf.fr/ark:/12148/cb31013151m","","","Trần-Quang-Nghiêm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9YZSZBKA","book","1906","","Phãn đươǹg diêñ nghĩa ,  Cuốn thừ nhừt","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","","","","","","","","","","","Impr. saïgonnaise","Sàigòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1726","Country: VN 24 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35950679k","","","Trâǹ, Quang Nghiêm","","Nguyêñ, An Khương","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLWGA58D","book","1906","","Tàn đươǹg diêñ nghĩa :  cuôń thư ́nhưt́","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","51","","","","","Tàn đươǹg diêñ nghĩa","","","","","Impr. Saigonnaise","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-352","Country: VN 24 cm. La couv. porte : titre en chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb359507504","","","","","Nguyêñ, An Khương","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2HR3I57","book","1906","Nguyêñ, An Khương","Thủy Hủ ̛diễn nghĩa, traduit par Nguyễn-an-Khuơn̛g","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","","","","","","","","","","","Impr. saigonnaise","Saigon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-353","Country: FR [Histoire de Thuy-Hu. 1er fasc.","","","http://catalogue.bnf.fr/ark:/12148/cb31013156b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WT6HZV74","book","1906","","Thủy Hư ̉diêñ nghĩa :  cuôń thư ́nhưt́","","","","","","","1906","2021-01-04 14:51:35","2021-01-04 14:51:35","","","51","","","","","Thủy Hư ̉diêñ nghĩa","","","","","Impr. saigonnaise","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-353","Country: VN 24 cm. La p. de titre porte : titre en chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb35950794r","","","","","Nguyêñ, An Khương","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K3WFUR45","book","1906","","Vạn Huê Lâù diêñ nghiã","","","","","","","1906","2021-01-04 14:54:15","2021-01-04 14:54:15","","","51","","","3","","","","","","","Impr. saigonnaise","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-359 (A)","Country: VN 24 cm. La p. de titre porte : titre en chinois. Existent les vol. 1, 4, 5.","","","http://catalogue.bnf.fr/ark:/12148/cb35950839w","","","Nguyêñ, Hôǹg Ðiêủ","","Nguyêñ, An Khương","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACJPADJP","book","1907","","Ðại hôǹg bào hải thoại","","","","","","","1907","2021-01-04 14:54:15","2021-01-04 14:54:15","","","51","","","2","","","","","","","Impr. saigonnaise","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2S-252 (1-2)","Country: VN 24 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb359505063","","","","","Trâǹ, Phong Săć","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TANY8I9B","book","1907","","Dai-hong-bao hai-thoai... Traduit par Tran-Phong-Sac","","","","","","","1907","2021-01-04 14:54:15","2021-01-04 14:54:15","","","","","","2","","","","","","","Impr. saïgonnaise","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2S-252","Country: VN [Histoire de la robe rouge du ministre Hai-Thoai. 1er-2e fascicule. 1er tirage.","","","http://catalogue.bnf.fr/ark:/12148/cb33336094j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"E4I7C95U","book","1907","","Dong-Hon dien nghia... publié par Nguyen-an- Linh, Ho-van-Trung, Tran-van-Mi,...","","","","","","","1907","2021-01-04 14:54:15","2021-01-04 14:54:15","","","","","","","","","","","","","Impr. saigonnaise","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-348","Country: VN [Histoire de Dong-Hon. - 2e fascicule.","","","http://catalogue.bnf.fr/ark:/12148/cb33355640f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
