"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CANP9DZC","book","1942","Hô ̀, Biêủ Chánh","Cu ̛kỉnh :  [tiểu-thuyết]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42439450","Cu ̛-kỉnh. Principes qu'un mandarin doit suivre, roman","1942","2021-05-26 13:54:14","2021-05-26 13:54:14","2021-05-26 13:54:14","","","","","","","Cu ̛kỉnh","","","","","Ðại Việt","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-1443","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753395c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YCGPIQIM","book","","Tiêu phí hiệp tác xã","Ðiều-lệ tiêu-phí hiệp tác xã","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42425474","Coopérative de consommateurs. Société","","2021-05-26 13:55:47","2021-05-26 13:55:47","2021-05-26 13:55:47","","19","","","","","","","","","","impr. Thánh Mã̂u","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2516","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357594686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37PNWFKI","book","","","Sám giản nguời̛ đòi̛ :  cải ác làm lành ráng công tu miệm","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4236249w","","","2021-05-26 13:55:57","2021-05-26 13:55:57","2021-05-26 13:55:57","","","","","","","Sám giản nguời̛ đòi̛","","","","","impr. Thánh Mã̂u","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-2485","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357583273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ERWIIRD7","book","","Thouvenin, Jean","Extrait du livre de Jean Thouvenin : ""Un seul chef, Pétain""","","","","","","","","2021-05-26 13:58:45","2021-05-26 13:58:45","","","4","","","","","Extrait du livre de Jean Thouvenin","","","","","impr. de Thanh-Mau","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 16-LB58-731 (2)","Country: VN La couverture porte : ""Fête Philippe Pétain, 1er mai 1942. La création du Conseil       national"". - Légion de Cochinchine.","","","http://catalogue.bnf.fr/ark:/12148/cb314663341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CKW2ELR","book","","Nguyễn, Kim Muôn","Cao-Ðài chon̛-giải...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242989v","Commentaires sur le Caodaïsme. Etudes religieuses","","2021-05-26 13:58:45","2021-05-26 13:58:45","2021-05-26 13:58:19","","48","","","","","","","","","","Impr. Thạnh Mậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2272","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35756388t","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FFABPY5Y","book","","Tiêu phí hiệp tác xã","Ðiều-lệ tiêu-phí hiệp tác xã","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42425474","Coopérative de consommateurs. Société","","2021-05-26 13:58:45","2021-05-26 13:58:45","2021-05-26 13:58:21","","19","","","","","","","","","","impr. Thánh Mã̂u","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2516","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357594686","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KDFLLXK2","book","","","Kinh kính thò ̛Rầt Thánh Trái Tim :  Ðúc̛ Chúa Giêsu","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42443368","Le Sacré-Cœur, prières","","2021-05-26 13:58:45","2021-05-26 13:58:45","2021-05-26 13:58:21","","","","","","","Kinh kính thò ̛Rầt Thánh Trái Tim","","","","","impr. Thanh Mâu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-164","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35754235g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TTS24NPU","book","1938","Vũ, Trọng Phụng","Nhân su ̛chia rẽ của đệ tam và dệ tú ̛. Vũ Trọng Phụng viết","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244837d","","1938","2021-05-26 13:58:45","2021-05-26 13:58:45","2021-05-26 13:58:22","","","","","","","","","","","","impr. Thanh Mậu","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-574","Country: FR [Autour du désaccord entre la IIIe et la IVe Internationale.","","","http://catalogue.bnf.fr/ark:/12148/cb31610021q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RVL5SC8A","book","","Hồ, Madame Hũư Tuờn̛g","Phát-Xít ỏ ̛Ðúc̛...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4242959q","Le Fascisme en Allemagne. Politique","","2021-05-26 13:58:45","2021-05-26 13:58:45","2021-05-26 13:58:22","","","","","","","","","","","","Impr. Thạnh Mậu","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2436","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753423s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AT5L5L3R","book","","","Sám giản nguời̛ đòi̛ :  cải ác làm lành ráng công tu miệm","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4236249w","","","2021-05-26 13:58:45","2021-05-26 13:58:45","2021-05-26 13:58:23","","","","","","","Sám giản nguời̛ đòi̛","","","","","impr. Thánh Mã̂u","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-2485","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357583273","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
