"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2IU6ZAT5","book","","Công-Tâm","Công-Tâm. Pour la diffusion de la médecine française","","","","","","","16","2021-05-26 09:46:47","2021-05-26 09:46:47","","","","","","","","","","","","","","Saïgon, impr. de Tin Duc Thu Xa","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 16-T PIECE-268","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb319633287","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98CHQIR2","book","","","Bắc du diễn nghĩa","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42296814","Bắc du diễn nghĩa, roman","","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:45:56","","84","","","","","","","","","","Tín Ðúc̛ thu ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1107","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35751289p","","","","","Lê, Duy Thiện","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73BEKN25","book","","","Duơn̛g Ngọc tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42405359","Histoire de Duơn̛g Ngọc, poème","","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:45:56","","48","","","","","","","","","","Tín Ðúc̛ Thu ̛Xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1203","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357523625","","","","","Lê, Duy Thiện","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N3TMDQPX","book","","","Phạm-Công Cúc-Hoa","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230499m","Phạm-Công, Cúc-Hoa, roman en vers","","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:45:57","","67","","","","","","","","","","Tín Ðúc̛ thu ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1097","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35757600n","","","","","Lê, Duy Thiện","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBBUXUI8","book","","Lê, Bảo Quang","Tấm lòng nghĩa hiêp","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42297780","Un Cœur généreux, roman","","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:45:58","","60","","","","","","","","","","Tín Ðúc̛ thu ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1113","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357545359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SR47BGV","book","","","Trần Minh khố chuối","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42419387","Trần-Minh, l'homme au pagne en feuilles de bananier, poème","","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:45:59","","11","","","","","","","","","","Tín Ðúc̛ thu ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1529","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35759752n","","","","","Lê, Duy Thiện","","","","","","","","","","","","","","","","","2e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XB88Y6GI","book","1927","Duơn̛g, Minh Ðạt","Bình vò ̛guơn̛g tan...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42291355","Vase brisé, miroir pulvérisé. Roman","1927","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:46:04","","490","","","","","","","","","","Tín Ðúc̛ thu ̛xã","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-216","Country: FR 1927-1928 d'après le dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35752357k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YB84QH83","book","1927","Nguyễn, Ðúc̛ Huy","Nguyễn-đúc̛-Huy,... Nguời̛ mặt nạ...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229030r","","1927","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:46:05","","","","","","","","","","","","Tín-Dúc̛ Thu ̛-Xã","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-539","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb31013338z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AUGZTNRH","book","1927","Nguyêñ, Chánh Săt́","Tài mạng tuơn̛g đố, tác giả Nguyễn-Chánh-Sắt,...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230061s","","1927","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:46:06","","107","","","","","","","","","","Tín-dúc̛ Thu ̛-xa","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-615","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb310132182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F4N49J9A","book","1928","Phan-Nhu ̛-Tiêp","Cái lụy kim tiền Quyên Quyên lệ sủ ̛... Tác giả, Phan-Nhu ̛-Tiêp nr Viêt-Bắc","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230895b","","1928","2021-05-26 09:46:47","2021-05-26 09:46:47","2021-05-26 09:46:07","","","","","","","","","","","","Tín-đúc̛ thu ̛Xã","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-619","Country: FR Esclave de l'argent. Histoire de Mlle Quyen-quyen. 1re éd.","","","http://catalogue.bnf.fr/ark:/12148/cb310995018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
