"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"42DQINUA","book","1929","Nguyễn, Văn Hiếu","Bắc-Tống diễn nghĩa","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230730n","","1929","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:31","","","","","","","","","","","","impr. de Trần-trọng-Cảnh","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1120","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb31013920j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBGLQGY7","book","1930","Nguyên, Truong Son","Máy xe hoi̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230596q","","1930","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:32","","","","","","","","","","","","Impr. Trấn-trọng-Cảnh","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1232","Country: FR [Le mécanisme de l'automobile.","","","http://catalogue.bnf.fr/ark:/12148/cb310138506","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3KNDQTSF","book","1930","Phan-Nhu ̛-Tiêp","Phan-nhu ̛-Tiếp. Phong kiêm xuân thu","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4233729x","","1930","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:41","","","","","","","","","","","","impr. de Trân-trọng. Cánh","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1282","Country: FR L'époque de la féodalité (Chine), roman.","","","http://catalogue.bnf.fr/ark:/12148/cb31099503z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTYMNSK6","book","1930","","Sách coi Têt̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42401014","","1930","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:41","","46","","","","","","","","","","Impr. de Trần Trọng-Cảnh","Sàigón","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1190","Country: FR [Pour lire au Têt̛. Littérature.","","","http://catalogue.bnf.fr/ark:/12148/cb33593713h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CY7JV8H8","book","1930","Vũ Huu ̛Côn","Sách dạy chụp hình. Tác giả Vũ Huư Côn","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42310205","","1930","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:41","","60","","","","","","","","","","impr. de Trần Trọng Cảnh","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1435","Country: FR Fasc. 1. [L'art de la photographie.","","","http://catalogue.bnf.fr/ark:/12148/cb316098734","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FW86K2D8","book","1931","Vũ Huu ̛Côn","Sách dạy chụp hình. Tác giả Vũ Huư Côn","","","","","","","1931","2021-05-26 14:34:47","2021-05-26 14:34:47","","","","","","","","","","","","","impr. de Trần Trọng Cảnh","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1566","Country: FR Fasc. 1 et 2.","","","http://catalogue.bnf.fr/ark:/12148/cb31609874g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RTSSLE9N","book","1931","Amicale des Tonkinois en Cochinchine","Tập biên bản đại hội đồng thuờn̛g niên. Ngày 11 Novembre 1930","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240696b","Procès-verbal de l'assemblée générale de l'Amicale des Tonkinois résidant en Cochinchine","1931","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:41","","","","","","","","","","","","impr. Trần Trọng Cảnh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1367 (1930)","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35751298n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MD8VG2VR","book","1932","Phan, Thị Bạch Vân","Lâm Kiều-Loan... ,  [Fasc. 1]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4243637d","Lâm Kiêu-Loan, roman","1932","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:42","","","","","","","","","","","","Impr. Trân Trọng Canh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-4702","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357578513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BLFLL7LL","book","1932","Huệ, Luư","Tổ xua̛ quan lục̛ truyền niệm Phật kinh","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241710g","Les Prières traditionnelles du Bouddhisme","1932","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:42","","","","","","","","","","","","impr. Trân Trọng Cánh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2068","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753882d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFV8N4CF","book","1933","Institution Chấn Thanh","Renseignements pour les familles","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42415591","","1933","2021-05-26 14:34:47","2021-05-26 14:34:47","2021-05-26 14:34:43","","7","","","","","","","","","","impr. Trân trọng Canh","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2326","Country: FR Texte en vietnamien.","","","http://catalogue.bnf.fr/ark:/12148/cb357541147","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
