"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"Q2HYH92V","book","1939","Thanh, Liên; Tù ̛, Quang","Tịnh-độ pháp nghi","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42448026","Rituel de la secte de la Terre Pure","1939","2021-03-30 13:59:24","2021-03-30 13:59:24","2021-03-30 13:59:24","","","","","","","","","","","","Trần Văn Tuy","Chọ ̛Lón̛","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-658","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35759493d","","","","","","Thanh, Liên; Tù ̛, Quang","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WWIQE9U","book","","Nhành Mai","Nguời̛ và ma kết bạn","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4232932s","Pharmacie Nhành-Mai, catalogue En supplément : Un homme qui a épousé un fantôme, roman","","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:28","","65","","","","","","","","","","impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1651","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357573971","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WDXR5ZYL","book","","Ðõ̂, Văn Lâm","Quôc̛ hồn... ,  [Số I-II]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4236771f","L'Ame du pays, roman","","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:29","","31","","","","","","","","","","Impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-2611","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35753004d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMJ42B3L","book","1934","Association d'assistance aux sujets et protégés français","Hội giúp anh em lao động đóng thuế thân Sàigòn Chọ ̛-lón̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42424419","","1934","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:34","","","","","","","","","","","","impr. Việt-Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2803","Country: FR Texte en vietnamien.","","","http://catalogue.bnf.fr/ark:/12148/cb35751265p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7EQ3IQPW","book","1935","","Biện-minh cái vấn-đề tuyễn-củ ̛Ðúc̛ Giáo-Tông...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241699w","Eclaircissements sur l'élection d'un chef bouddhiste... Bouddhisme","1935","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:34","","","","","","","","","","","","impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2063","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357515091","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLP5MX3I","book","1935","Hội lủơn̛g xuyên Phật học","Biện minh cái vãn đề tuyễn cù ̛giáo tông","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42413511","Eclaircissements sur le problème de l'élection du chef des études bouddhistes","1935","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:39","","","","","","","","","","","","impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1848","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753750h","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X8KRD2S2","book","1935","Hội Nam kỳ nghiên cúư phật học","Cái điễm đặc-biệt","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244245w","Le But particulier de l'Association cochinchinoise d'études bouddhiques. Bouddhisme","1935","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:44","","","","","","","","","","","","Impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-34","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35753756k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TBYL6K2C","book","1935","Ðại, Châu","Ðốn-ngộ yếu-môn","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42366839","Pour comprendre le bouddhisme","1935","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:49","","","","","","","","","","","","Impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1921","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357524497","","","","","Gíac, Sanh Tụ ̛","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AW2ASDM","book","1935","","Kinh cúư-kíp :  Ðúc̛ Quan-Ðế Thánh-quân","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245408m","Ecrits de Quan-Ðế Thánh-Quân","1935","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:57","","12","","","","","Kinh cúư-kíp","","","","","Impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-483","Country: FR portr.","","","http://catalogue.bnf.fr/ark:/12148/cb35754209x","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23LL2IKN","book","1935","Phan, Thúc Duy","Ngọn duốc của̛ Thiền :  Lịch-sủ ̛đúc̛ Nhu ̛-Ðạo","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241168m","Le Flambeau du temple : biographie du bonze Nhu ̛-Ðạo. Bouddhisme, histoire","1935","2021-03-30 14:49:03","2021-03-30 14:49:03","2021-03-30 14:47:58","","23","","","","","Ngọn duốc của̛ Thiền","","","","","Impr. Việt Nam","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-2987","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35757853s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
