"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YJ68WFJL","book","1931","","Kiều phú...","","","","","","Histoire de Kiều, en prose rythmée","1931","2021-02-25 09:27:21","2021-02-25 09:27:21","","","22","","","","","","","","","","Impr. Xua̛ Nay","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-INDOCH PIECE-1828 (BIS)","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357541476","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LT2PXHGQ","book","1931","","Kiều phú","","","","","","Sur Túy-Kiều. Prose rythmée","1931","2021-02-25 09:27:28","2021-02-25 09:27:28","","","","","","","","","","","","","Impr. Xua̛ Nay","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-INDOCH PIECE-1242","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754148j","","","","","Võ, Trọng Thu","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PR93YPMQ","book","1929","","Kim Cang chu ̛gia...","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k4229996m","Kim Cang chu ̛gia... -- 1929 -- livre","1929","2021-02-25 09:44:56","2021-02-25 09:44:56","2021-02-25 09:44:56","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","/Users/vy/Zotero/storage/IVWKK248/bpt6k4229996m.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HAU6UH6X","book","1931","","Mục-Liên Thanh-Ðề","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42433930","Histoire de Mục-Liên Thanh-Ðề, poème","1931","2021-03-30 11:11:01","2021-03-30 11:11:01","2021-03-30 11:11:00","","18","","","","","","","","","","Phạm Văn Thình","Chọ ̛Lón̛","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-4406","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357554416","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZP6NYKFT","book","1930","","Sáu Trọng tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42419068","Histoire de Sáu Trọng en vers, poème","1930","2021-03-30 11:12:29","2021-03-30 11:12:29","2021-03-30 11:12:29","","","","","","","","","","","","Phạm Văn Thình","Chọ ̛Lón̛","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1521","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35758346c","","","","","","","","","","","","","","","","","","","","","","12e éd","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N2E5TG7I","book","1930","Lê, Văn Tiếng Auteur du texte","Quách-Hoè muư sát thái-tũ ̛ (3e éd.) / soạn gỉa Lê Văn Tiếng","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k4241905v","Quách-Hoè muư sát thái-tũ ̛ (3e éd.) / soạn gỉa Lê Văn Tiếng -- 1930 -- livre","1930","2021-03-30 11:12:49","2021-03-30 11:12:49","2021-03-30 11:12:49","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NMMFJJA8","book","1930","Lê, Văn Tiếng","Án Bàng Quí-Phi...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4241919w","La Condamnation de Bàng Quí-Phi. Théâtre 8e éd","1930","2021-03-30 11:13:10","2021-03-30 11:13:10","2021-03-30 11:13:10","","36","","","","","","","","","","Phạm Văn Thình","Chọ ̛Lón̛","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-1542","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35754848g","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛tám","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3Y5PFPAF","book","1944","Suzuki, K.","Oanh-tạc và phòng-thủ thụ-động","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240775h","Bombardement aérien et défense passive","1944","2021-03-30 14:44:23","2021-10-11 08:34:29","2021-03-30 14:44:23","","58","","","","","","","","","","Xưa Nay","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-602","Country: FR fig.","","","http://catalogue.bnf.fr/ark:/12148/cb35757486n","","","","","","Suzuki, K.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GVCJ8ZKX","book","1928","Truơn̛g Quang-Tiền","Chiêu-Quân giáp mặt Hán Hoàng...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42290315","","1928","2021-04-01 07:15:52","2021-04-01 07:15:52","2021-04-01 07:15:42","","51","","","","","","","","","","Impr. Xua̛-Nay","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-589","Country: FR [Chiêu-Quân rencontre l'empereur des Hán, pièce de théâtre.","","","http://catalogue.bnf.fr/ark:/12148/cb315021213","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LC9PTSRD","book","1925","Truơn̛g Quang-Tiền","Ai sát nhon̛??...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4240794v","","1925","2021-04-01 07:15:52","2021-04-01 07:15:52","2021-04-01 07:15:42","","","","","","","Ai sát nhon̛?","","","","","Impr. Xua̛-Nay","Sài-gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-233","Country: FR [Qui est l'assassin ? Roman.","","","http://catalogue.bnf.fr/ark:/12148/cb31502119j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
