"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"AMYU8H2U","book","1939","Brévié, Jules; Indochine française","Bài diễn văn của quan Toàn quyền Ðông Pháp Jules Brévié dọc buổi khai mac kỳ nhóm Ðai Hội nghi kinh tế và lý tài ngay 24.10.1938","","","","","","Discours d'ouverture du Grand Conseil économique et financier par le Gouverneur Général Jules Brévié, le 24-10-1938","1939","2021-02-25 09:06:23","2021-02-25 09:06:23","","","","","","","","","","","","","impr. de l'Union","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 4-INDOCH PIECE-46","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35754110v","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MWS9TMQ","book","1938","Brévié, Jules (1880-1964) Auteur du texte; texte, Indochine française Grand conseil économique et financier Auteur du","Bài diễn văn của quan Toàn Quyền Jules Brévié dọc bũa̛ khai mạc đại hội đông kinh tê và ly tài ngày mùng hai tháng chạp tây năm 1937","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k4242835z","Bài diễn văn của quan Toàn Quyền Jules Brévié dọc bũa̛ khai mạc đại hội đông kinh tê và ly tài ngày mùng hai tháng chạp tây năm 1937 -- 1938 -- livre","1938","2021-02-25 09:07:40","2021-02-25 09:07:40","2021-02-25 09:07:40","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LHE97VZC","book","1936","","Kim-Cang chu ̛gia","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k4234402j","Kim-Cang chu ̛gia -- 1936 -- livre","1936","2021-02-25 09:45:17","2021-02-25 09:45:17","2021-02-25 09:45:17","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","/Users/vy/Zotero/storage/7PHK74NC/f430.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLY2VCXD","book","1935","","Hai dêm hát làm nghĩa giúp học-sanh Annam bên Pháp","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k4238892k","Hai dêm hát làm nghĩa giúp học-sanh Annam bên Pháp -- 1935 -- livre","1935","2021-03-05 16:03:13","2021-03-05 16:03:13","2021-03-05 16:03:13","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","/Users/vy/Zotero/storage/SNPFSZ8U/bpt6k4238892k.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LQMLAP7T","book","1918","Dufosse, M.","Géographie physique, économique et historique du royaume du Cambodge. Monographie de la circonscription résidentielle de Kompong-Thom, par le Dr M. Dufosse,...","","","","","","","1918","2021-03-30 07:54:36","2021-03-30 07:54:36","","","","","","","","","","","","","","Saigon, Impr. de l'union Nguyen-Van-Cua","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Z-15382 (3,1)","Country: VN Publications de la Société des études indochinoises.","","","http://catalogue.bnf.fr/ark:/12148/cb320525089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4MJ9DKN","book","1918","Lê-Kim-Huê, Marguerite","Luư-Huớn̛g diễn-nghĩa. Bũ ̛-quyện, ""par"" Marguerite Lê-Kim-Huê,...","","","","","","","1918","2021-03-30 07:54:36","2021-03-30 07:54:36","","","","","","","","","","","","","impr. de Nguyen-Van-Cua","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-385","Country: VN [Histoire de Mme Lu'u-Hu'óng. 1re édition.","","","http://catalogue.bnf.fr/ark:/12148/cb30782680v","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UAAAVZ2D","book","1918","Dufosse, M.","Monographie de la circonscription résidentielle de Kompong-Thom","","","","","","","1918","2021-03-30 07:54:36","2021-03-30 07:54:36","","","99","","","","","","","","","","impr. de l'union Nguyen-Van-Cua","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-Z-15382 (3,1)","Country: FR ill., cartes.","","","http://catalogue.bnf.fr/ark:/12148/cb359588134","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DRD8L8HA","book","1918","Ðặng Thúc Liêng","Pháp Viêt Nhú't Gia. Tuông hát g lóp. Trucór tac : Ðăng-Thúc-Liêng [et] Nguyên-Viên-Kiêu...","","","","","","","1918","2021-03-30 07:54:36","2021-03-30 07:54:36","","","14","","","","","Pháp Viêt Nhú't Gia. Tuông hát g lóp. Trucór tac","","","","","impr. de l'Union Nguyen Van-Cua","Saigon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-479","Country: FR in-8. France-Annam, une seule famille.","","","http://catalogue.bnf.fr/ark:/12148/cb31991491d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VG5VY7A7","book","1918","Nguyêñ, Viên Kiêù","Pháp Việt Nhút̛ Gia. Tuồng hát 9 lóp̛. Truớc̛ tác : Ðăng-Thúc-Liêng [et] Nguyễn-Viên-Kiếu...","","","","","","","1918","2021-03-30 07:54:36","2021-03-30 07:54:36","","","","","","","","Pháp Việt Nhút̛ Gia. Tuồng hát 9 lóp̛. Truớc̛ tác","","","","","Impr. de l'Union Nguyen Van-Cua","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-479","Country: VN France-Annam, une seule famille.","","","http://catalogue.bnf.fr/ark:/12148/cb31014084j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7UXVHBSR","book","1918","Nguyêñ, Viên Kiêù","Thơ thiện ác hưũ báo","","","","","","","1918","2021-03-30 07:54:58","2021-03-30 07:54:58","","","15","","","","","","","","","","Impr. de l'union Nguyêñ Văn Của","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-458","Country: VN ill. 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35708531v","","","Nguyễn, Văn Của","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AJFQ24QS","book","1918","Nguyêñ, Viên Kiêù","Tho ̛thiện ác hŭư báo. [""Le bien et le mal ne sont pas perdus"", poème] par Nguyễn-Viên-Kiêu (Trávinh)","","","","","","","1918","2021-03-30 07:54:58","2021-03-30 07:54:58","","","","","","","","","","","","","Nguyễn-Văn-Cŭa (Impr. de l'Union)","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-458","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31014085w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RL8F889V","book","1918","Nguyêñ, Ngọc Ân̉","Vâǹ quâć [quôć] ngư ̃có phụ thêm vâǹ langsa...","","","","","","","1918","2021-03-30 07:55:26","2021-03-30 07:55:26","","","32","","","","","","","","","","Impr. Nguyêñ Văn Của","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X PIECE-2537","Country: VN ill. 24 cm. 02. In kỳ nhì chê ́lại có thêm nhiêù chô ̃.","","","http://catalogue.bnf.fr/ark:/12148/cb35950653w","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YJ56KYAA","book","1918","Nguyên-Ngọc-An","Vần quấc-ngũ có phụ thêm vần lang-sa... [Syllabaire annamite en caractères latins suivi d'un syllabaire pour apprendre le français... par] Nguyễn-Ngọc-An... 2e édition","","","","","","","1918","2021-03-30 07:55:26","2021-03-30 07:55:26","","","32","","","","","","","","","","impr. de Nguyễn-văn-của","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X PIECE-2537","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31013616g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q56LTWUC","book","1919","Jason, G.","L'Anglais classique et commercial en 80 leçons... par G. Jason,... 1re édition...","","","","","","","1919","2021-03-30 07:55:26","2021-03-30 07:55:26","","","","","","","","","","","","","impr. de Nguyên-Văn-Cùa","Saigon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X-16244","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb306475934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VEY3S8KJ","book","1919","","Bác dương kinh","","","","","","","1919","2021-03-30 07:55:42","2021-03-30 07:55:42","","","17","","","","","","","","","","Impr. de l'union Nguyêñ Văn Của","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-434","Country: VN 23 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb356994305","","","Cao, Văn Lỏi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZBBBBVM","book","1919","Cao, Văn Lỏi","Bác kiêt́ nội gia","","","","","","","1919","2021-03-30 07:55:42","2021-03-30 07:55:42","","","33","","","","","","","","","","Impr. de l'union Nguyêñ Văn Của","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-435","Country: VN 23 cm. La couv. porte : titre en chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb35950468c","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3T4GAQH5","book","1919","Cao-Vǎn-Loi","Bác Kiêt Nội Gia, par M. Cao Vǎn-Loi,...","","","","","","","1919","2021-03-30 07:55:42","2021-03-30 07:55:42","","","","","","","","","","","","","","Saigon, impr. de l'Union Nguyên-Van-Cua","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-O2L-435","Country: VN La Couverture imprimée sert de titre - Huit choses augurant le bonheur dans une famille.","","","http://catalogue.bnf.fr/ark:/12148/cb31904723m","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
