"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LX33W9QD","book","","","Khoa-học tạp-chí. Revue de vulgarisation scientifique","","","","","http://gallica.bnf.fr/ark:/12148/cb32803498d/date","","","2021-02-25 10:14:54","2021-02-25 10:14:54","2021-02-25 10:14:54","","","","","","","","","","","","[s.n","Sài-gòn","mul","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-R-32480","Country: VN In-8.","","","http://catalogue.bnf.fr/ark:/12148/cb32803498d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TDDRM6I","book","","Ðặng, Lê ̃ Nghi","Nàng Út thơ","","","","","","","","2021-04-01 07:01:56","2021-04-01 07:01:56","","","18","","","","","","","","","","Impr. de l'union","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-275","Country: VN couv. ill. 23 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35950517r","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","In lâǹ thư ́hai","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDCELL9F","book","","Ðặng, Lê ̃ Nghi","Vè  xư ̉tư ̉tại Câǹ thơ :  tội nhơn Nguyêñ V. Trực kêu là Trâǹ V. Giác...","","","","","","","","2021-04-01 07:01:56","2021-04-01 07:01:56","","","7","","","","","Vè  xư ̉tư ̉tại Câǹ thơ","","","","","Impr. de l'union","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-152","Country: VN 20 cm. 1913, d'après la déclaration de Dépôt légal.","","","http://catalogue.bnf.fr/ark:/12148/cb35950520n","","","Lê, Minh Ðiêù","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B76WJU8Y","book","1911","Nguyên-Thi-No","Trần-đại-lang Giăm, transcrit en quốc-ngũ ̛pour la 1re fois, par Nguyên-thị-Nõ","","","","","","","1911","2021-04-01 07:01:56","2021-04-01 07:01:56","","","","","","","","","","","","","impr. de l'Union","Saigon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-278","Country: VN Histoire de Trần Dai Lang, transcrit en quôc-ngũ ̛pour la 1re fois. 1re édition.","","","http://catalogue.bnf.fr/ark:/12148/cb31013758p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35MP8GDB","book","1912","Nguyêñ, An Cư","Tam quốc diẽn nghĩa, traduit par Nguyẽn-an-Cu ̛, édité par Dinh-Thái-Són","","","","","","","1912","2021-04-01 07:01:56","2021-04-01 07:01:56","","","","","","","","","","","","","impr. de l'Union","Saigon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2-25105","Country: VN [Histoire des trois royaumes.","","","http://catalogue.bnf.fr/ark:/12148/cb310131461","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V6D72E5I","book","1912","Nguyên-Văn-Tròn","Tho ̛Bùi-Kiệm Dặm, par Nguyễn-Văn-Tròn,... [1re édition]","","","","","","","1912","2021-04-01 07:01:56","2021-04-01 07:01:56","","","7","","","","","","","","","","impr. de l'Union","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2 PIECE-2338","Country: VN Histoire de Bŭì-Kiệm.","","","http://catalogue.bnf.fr/ark:/12148/cb310140538","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R87NG8MY","book","1913","","Bản đơǹ kiêm̀","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k1344007","","1913","2021-04-01 07:01:56","2021-04-01 07:01:56","2021-04-01 07:01:55","","44","","","","","","","","","","Impr. de l'union","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-343","Country: VN couv. ill. 23 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35700605n","","","Ðinh, Thái Sơn","","Nguyêñ, Tùng Bá","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEAXC6DC","book","1913","Ðặng, Lê ̃ Nghi; Ðinh, Thái Sơn","Chêt́ dư ̃vê ̀cuộc máy bay","","","","","","","1913","2021-04-01 07:01:56","2021-04-01 07:01:56","","","8","","","","","","","","","","Impr. de l'union","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-153","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb357029367","","","","","","Ðinh, Thái Sơn","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GNGZDYJ8","book","1913","Ðặng-Lễ-Nghi","Chet dũ̉ vì cuộc may bay... [Très cruel retour d'une course d'aéroplane (poème satirique),       par Dăng-Lê-Nghi. Publié par Dinh-Thai-Són.]","","","","","","","1913","2021-04-01 07:01:56","2021-04-01 07:01:56","","","","","","","","","","","","","","Saigon, Impr. de l'Union","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-153","Country: VN En annamite.","","","http://catalogue.bnf.fr/ark:/12148/cb31991396v","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5IE4DNY4","book","1913","Ðặng, Lê ̃ Nghi","Chí hiêú thành tiên thơ diêñ trong truyện Contes bleus","","","","","","","1913","2021-04-01 07:01:56","2021-04-01 07:01:56","","","24","","","","","","","","","","Impr. de l'union","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA PIECE-362","Country: VN couv. ill. 24 cm. La couv. porte : titre en chinois.","","","http://catalogue.bnf.fr/ark:/12148/cb357017024","","","Ðinh, Thái Sơn","","","Ðặng, Lê ̃ Nghi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
