"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"G62RCIIE","book","1871","J. M.J","Sách sâḿ truyêǹ mơí","","","","","","","1871","2021-05-27 07:48:54","2021-05-27 07:48:54","","","231","","","","","","","","","","Impr. de la Mission","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1745","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb357048473","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RXE5T6W2","book","1873","J. M.J","Sách dâñ vào đàng nhơn đưć trọn lành","","","","","","","1873","2021-05-27 07:48:54","2021-05-27 07:48:54","","","175","","","","","","","","","","Impr. de la Mission","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - D-63274","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35704790z","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HV3T9DJQ","book","1874","J. M.J","Bôn̉ dạy tiêńg La tinh","","","","","","","1874","2021-05-27 07:48:54","2021-05-27 07:48:54","","","222","","","","","","","","","","Impr. de la Mission","Sài gòn","vie fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1741","Country: VN 19 cm. La couv. porte : ""Tân Ðịnh : Impr. de la Mission, 1875.","","","http://catalogue.bnf.fr/ark:/12148/cb359505679","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BUUA3JM5","book","1875","J. M.J","Bôn̉ dạy phép toán","","","","","","","1875","2021-05-27 07:48:54","2021-05-27 07:48:54","","","166","","","","","","","","","","Impr. de la Mission","Tân Ðịnh","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 16-V-16879","Country: VN 19 cm. Appendice en français.","","","http://catalogue.bnf.fr/ark:/12148/cb35704776d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCIMCD3H","book","1877","J. M.J","Tự vị annam-phalangsa","","","","","","","1877","2021-05-27 07:48:54","2021-05-27 07:48:54","","","916","","","","","","","","","","Impr. de la Mission","Sài gòn","vie fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-X-1546","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35704851b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLZ54UHI","book","1879","","Ðại Nam Việt quâć triêù sư ̉ký, có phâǹ phụ thêm...","","","","","","","1879","2021-05-27 07:48:54","2021-05-27 07:48:54","","","256","","","","","","","","","","Impr.de la Mission","Tân Ðịnh","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1743","Country: VN 20 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35702881s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATP22H9W","book","1879","J. M.J","Sách dạy tập đi đàng nhơn đưć trọn lành","","","","","","","1879","2021-05-27 07:48:54","2021-05-27 07:48:54","","","567","","","2","","","","","","","Impr. de la Mission","Tân Ðịnh","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1740 (1)","Country: VN 20cm. 1979-1980 : dates erronnées dans le catalogue imprimé.","","","http://catalogue.bnf.fr/ark:/12148/cb35704794b","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LJ59WRES","book","1879","J. M.J","Thiên Chúa Thánh giáo yêú lý chính giải","","","","","","","1879","2021-05-27 07:48:54","2021-05-27 07:48:54","","","236","","","","","","","","","","Impr. de la Mission","Tân Ðịnh","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1746","Country: VN 19 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35704869d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANRKEXZL","book","1880","J. M.J","Thập giải Quảng ngãi và bảy phép bí tích","","","","","","","1880","2021-05-27 07:48:54","2021-05-27 07:48:54","","","287","","","","","","","","","","Impr. de la Mission","Tân Ðịnh","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-XO11-1742","Country: VN 20 cm.","","","http://catalogue.bnf.fr/ark:/12148/cb35704864p","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HZMR4QV4","book","1881","","Lịch địa phận đàng trong bên Tây :  Năm Chúa Giáng sinh, puis Năm Giáng sinh","","","","","","","1881","2021-05-27 07:48:54","2021-05-27 07:48:54","","","","","","19","","Lịch địa phận đàng trong bên Tây","","","","","Impr. de la Mission","Tân-định","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 8-LC32-72","Country: VN [formats divers. Les années 1881, 1884 et 1885 sont signées J.M.J.","","","http://catalogue.bnf.fr/ark:/12148/cb35950931d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
