"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"V7HCRW3K","book","","","Công ích thơ xã tiêủ thuyêt́","","","","","","","","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","","","","","","Impr. du Centre","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","","Country: VN 17 cm. Notice rédigée d'après un vol. publié en 1924.","","","http://catalogue.bnf.fr/ark:/12148/cb34284203g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2K7H8KAK","book","","","Édition bilingues Monet. F.E.A.","","","","","","","","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","","","","","","Impr. du centre","Sài gòn","fre vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","","Country: VN 21 cm. Notice rédigée d'après un vol. publié en 1926.","","","http://catalogue.bnf.fr/ark:/12148/cb375885303","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IP4RQTH6","book","1923","Daguerches, Henry","L'Affaire du port de commerce","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","","","","","","","Saïgon, impr. du Centre","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V PIECE-21632","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb319878687","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UYUKT77","book","1923","Daguerches, Henry","L'Affaire du port de commerce","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","","","","","","","Saïgon, Impr. du Centre, 76, boulevard Bonnard","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-45013","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb31987869k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UNPQV7EQ","book","1923","Daguerches, Henry","L'Affaire du port de commerce [Saïgon-Cho Lon]. Aux hommes libres de Cochinchine...       [Appendice : Divers articles de la presse locale sur l'affaire du port de commerce.]","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","L'Affaire du port de commerce [Saïgon-Cho Lon]. Aux hommes libres de Cochinchine...       [Appendice","","","","","Impr. du centre","Saïgon","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V-45013","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb315186574","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8XUSPRC","book","1923","Lê-Mai","Bài ca caỉ-luơn̛g, ""par"" Lê-Mai...","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","","","","","","Impr. du Centre","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-588","Country: VN 3e livret.","","","http://catalogue.bnf.fr/ark:/12148/cb30783843f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZ2LDU8T","book","1923","Lê, Mai","Bài ca cải lương :  cuôń thư ́ba","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","27","","","","","Bài ca cải lương","","","","","Impr. du Centre","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-YA-588","Country: VN 24 cm. La couv. porte : titre en nôm.","","","http://catalogue.bnf.fr/ark:/12148/cb35705391f","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IUF6VZ78","book","1923","","Considérations générales sur la convention du monopole du port de Saïgon-Gholon, dont       le projet de convention est soumis au conseil colonial","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","12","","","","","","","","","","Impr. du Centre, 6, boulevard Bonnard","Saïgon (Cochinchine)","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Sciences et technique - Magasin - 8-V PIECE-21831","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb33323442g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U8AN4YSF","book","1923","Trâǹ, Hưũ Ðộ","Gia-Hon-An...","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","","","","","","","","","","","Impr. du Centre","Saïgon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2 PIECE-2681","Country: VN Roman détective.","","","http://catalogue.bnf.fr/ark:/12148/cb31161032s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XLBY9EI","book","1923","","Gĩa hôn án :  cuôń thư ́nhưt́","","","","","","","1923","2021-05-27 08:02:17","2021-05-27 08:02:17","","","16","","","","","Gĩa hôn án","","","","","Impr. du Centre","Sài gòn","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-Y2 PIECE-2681","Country: VN 25 cm. Trad. du français.","","","http://catalogue.bnf.fr/ark:/12148/cb35704143s","","","","","Trâǹ, Hưũ Ðộ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
