"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PR6H32L2","book","1929","Rolland, Romain","Lòng bác ái, lịch sù ̛ông thánh Gandhi ,  Fasc. 1-2","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230180g","Vie de Gandhi. Fasc. 1-2","1929","2021-05-27 12:30:52","2021-06-21 12:56:50","2021-05-27 12:30:52","","32","","","","","","","","","","Ðọng pháp","Gia Ðịnh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1115","Country: FR couv. ill. Manque la suite.","","; ","http://catalogue.bnf.fr/ark:/12148/cb357582254; http://catalogue.bnf.fr/ark:/12148/cb357582254","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8N5L4IJP","book","1927","Nguyễn, Ứng","Nguyễn-Un̛g. Xìch bich","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4238020b","","1927","2021-05-27 12:32:41","2021-05-27 12:32:41","2021-05-27 12:32:28","","","","","","","","","","","","impr. de Dõng-Phap","Giadinh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-78","Country: FR [Sur le fleuve Xich-bich.","","","http://catalogue.bnf.fr/ark:/12148/cb310138924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W7L3DVMK","book","1929","Nguyêñ, Kim Ðính","An tình tho ̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229775r","","1929","2021-05-27 12:32:41","2021-06-21 12:57:09","2021-05-27 12:32:32","","","","","","","","","","","","impr. Dông-pháp","Gia-dịnh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1126","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb310135224; http://catalogue.bnf.fr/ark:/12148/cb310135224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I7A2CGLF","book","1929","Nguyêñ, Kim Ðính","Dịch vã xuầt bản. Phạm-công Cúc-hoa","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4229684c","","1929","2021-05-27 12:32:41","2021-06-21 12:56:28","2021-05-27 12:32:34","","","","","","","","","","","","Impr. Dông-pháp","Gia-dịnh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1125","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb31013533s; http://catalogue.bnf.fr/ark:/12148/cb31013533s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y4A4CMEY","book","1929","Nguyêñ, Kim Ðính","Lâm-sanh Xuân-nuơn̛g","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239203t","","1929","2021-05-27 12:32:41","2021-06-21 12:56:33","2021-05-27 12:32:35","","","","","","","","","","","","impr. Dông-pháp","Gia-định","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-917","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb31013529j; http://catalogue.bnf.fr/ark:/12148/cb31013529j","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMZUMFAL","book","1929","Rolland, Romain","Lóng bác ai. Lịch sū ông thánh Gandhi. (L'amour de l'humanité. Biographie de Gandhi)","","","","","","","1929","2021-05-27 12:32:41","2021-06-21 12:56:56","","","","","","","","","","","","","Impr. Dông-pháp","Gia-dinh","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1115 (1-2)","Country: VN","","; ","http://catalogue.bnf.fr/ark:/12148/cb312386393; http://catalogue.bnf.fr/ark:/12148/cb312386393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YATJYRIQ","book","1929","Nguyêñ, Kim Ðính","Lục-vân-Tiên","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4228556d","","1929","2021-05-27 12:32:41","2021-06-21 12:56:38","2021-05-27 12:32:36","","","","","","","","","","","","Impr. Dông-pháp","Gia-định","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-996","Country: FR","","; ; ","http://catalogue.bnf.fr/ark:/12148/cb310135313; http://catalogue.bnf.fr/ark:/12148/cb310135313; http://catalogue.bnf.fr/ark:/12148/cb310135313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WKYHAASJ","book","1929","","Ngũ hổ bình nam ,  [Fasc. 4-5]","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230276x","Cinq héros pacifient le sud. Fasc. 4-5 2e éd","1929","2021-05-27 12:32:41","2021-05-27 12:32:41","2021-05-27 12:32:37","","","","","","","","","","","","Impr. Ðong Phap","Giađinh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1165","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35755845p","","","","","","","","","","","","","","","","","","","","","","In lần thú ̛nhì","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q9U4XISP","book","1929","Lũ ̛, Tín","Nhân đạo","","","","","","Le Devoir de l'homme Bibliothèque d'études fondamentales","1929","2021-05-27 12:32:41","2021-06-21 12:56:14","","","","","","","","","Cuơn̛g học thu ̛xã","","","","impr. Ðông Phap","Gia Ðịnh","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - MFICHE 8-INDOCH-1137","Country: FR","","; ","http://catalogue.bnf.fr/ark:/12148/cb360672925; http://catalogue.bnf.fr/ark:/12148/cb360672925","","","","","Vô, Ngã","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NCF42SS4","book","1929","Nguyêñ, Kim Ðính","Tam hạ Nam-Ðuờn̛g","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4230735q","","1929","2021-05-27 12:32:41","2021-05-27 12:32:41","2021-05-27 12:32:40","","","","","","","","","","","","Impr. Ðông-pháp","Gia-định","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH-1124","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb31013535g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
