"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JKVNHKEJ","book","1940","Kiều, Thanh Quế Auteur du texte","Hai muơi̛ tuõ̂i / Kiều Thanh Quề","","","","","https://gallica.bnf.fr/ark:/12148/bpt6k4241370c","Hai muơi̛ tuõ̂i / Kiều Thanh Quề -- 1940 -- livre","1940","2021-02-25 09:28:33","2021-02-25 09:28:33","2021-02-25 09:28:33","","","","","","","","","","","","","","FR","domaine public","","","","gallica.bnf.fr","","","","/Users/vy/Zotero/storage/TUJV5RG6/bpt6k4241370c.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DZ6LADNT","book","1938","Cao Dai","Vấn-đáp chon̛-lý đạo...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4244862g","Entretien sur la vraie doctrine. Ecrits caodaïstes","1938","2021-03-30 09:04:02","2021-03-30 09:04:02","2021-03-30 09:04:02","","","","","","","","","","","","Nguyễn Tấn Hoài","Bến Trê","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-624","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb357526322","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UGEENSJB","book","1942","","Ðại-Thùa̛, Diệu-Pháp-Liên-Hoa-Kinh, Quan-Thế-Âm Bồ-Tát, Phổ-Môn phẩm...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4246199q","Saddharmapundarika, Avalokitesvara, Samantamukhaparivarta","1942","2021-03-30 14:01:53","2021-03-30 14:01:53","2021-03-30 14:01:53","","43","","","","","","","","","","Thái Bình Duơn̛g","Chọ ̛Lón̛","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-1541","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb35752658r","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGDW8448","book","","Nguyên, Van Nhung","Nguyên-Van-Nhung... Le Chemin de l'homme moderne...","","","","","","","16","2021-04-01 06:28:17","2021-04-01 06:28:17","","","","","","","","","","","","","","Saïgon, impr. de Duc-Luu-Phuong","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Philosophie, histoire, sciences de l'homme - Magasin - 16-R-1860","Country: VN","","","http://catalogue.bnf.fr/ark:/12148/cb32484927g","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2BTCVI8Q","book","","Vĩnh, Sa; Phan, Văn Hùm; Nguyêñ, Ðình Chiêủ; Martiny","Châm cúư là gì ?...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4245853t","Qu'est-ce que l'acupuncture, le moxa","","2021-04-01 06:28:17","2021-04-01 06:28:17","2021-04-01 06:28:11","","17","","","","","Châm cúư là gì ?","","","","","impr. Ðúc̛ Luư Phuơn̛g","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-562","Country: FR ill. Textes en vietnamien et en français.","","","http://catalogue.bnf.fr/ark:/12148/cb35752005h","","","","","","Vĩnh, Sa; Phan, Văn Hùm; Nguyêñ, Ðình Chiêủ; Martiny","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AFZENQD2","book","","Ông, Củ ̛Ða","Giảng Tà-Lon̛","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42445893","Poèmes sur le Tà-Lon̛ et le Lang-Thiên. Bouddhisme","","2021-04-01 06:28:17","2021-04-01 06:28:17","2021-04-01 06:28:12","","","","","","","","","","","","impr. Ðúc̛ Luư Phuơn̛g","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-721","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35757498n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EM9CPGK2","book","","Thế, Trân","Một duyên hai nọ ̛...","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k4239998q","Prédestination, roman","","2021-04-01 06:28:17","2021-04-01 06:28:17","2021-04-01 06:28:14","","124","","","","","","","","","","impr. Ðúc̛ Luư Phuơn̛g","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-309","Country: FR couv. ill.","","","http://catalogue.bnf.fr/ark:/12148/cb357592210","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YXGHBX2L","book","","Chánh, Trí","Nhon̛-quả giảng-giải","","","","","http://gallica.bnf.fr/ark:/12148/bpt6k42447305","Explications sur la causalité","","2021-04-01 06:28:17","2021-04-01 06:28:17","2021-04-01 06:28:14","","","","","","","","","","","","impr. Ðúc̛ Luư Phuơn̛g","Sài Gòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH PIECE-696","Country: FR","","","http://catalogue.bnf.fr/ark:/12148/cb35752030q","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PBV2B42M","book","1936","Trịnh-Khánh-An; Truơn̛g Văn-Bền","Sổ tính giả lúa gạo... [Tụa̛ của Truơn̛g Văn-Bền.]","","","","","","","1936","2021-04-01 06:28:17","2021-04-01 06:28:17","","","","","","","","","","","","","impr. de Ðúc̛ Luư-Phuơn̛g","Sàigòn","fre","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 16-INDOCH-151","Country: FR [Barême pour calculer le prix du paddy. [Barème pour calculer le prix du paddy et du riz.","","","http://catalogue.bnf.fr/ark:/12148/cb31496439n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GYCV958R","book","1928","Amicale des Tonkinois","Bac-ky Ai-Huu... Ky-thuât Dai Hôi-dong thuong-niên ngay 11 Novembre 1928","","","","","","","1928","2021-04-01 06:28:17","2021-04-01 06:28:17","","","","","","","","","","","","","Impr. Duc-Luu-Phuong","Saigon","vie","","","","","BnF Catalogue général (http://catalogue.bnf.fr)","Tolbiac - Rez de Jardin - Littérature et art - Magasin - 8-INDOCH PIECE-249","Country: VN [Procès-verbal de l'Amicale des Tonkinois à Saigon le 11 novembre 1928.","","","http://catalogue.bnf.fr/ark:/12148/cb338560657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
