"Item Type","Author","Title",
"book","Liang, Qi chao"
"book","Trần-Minh-Khiêm","Vụơt̛ biển ra khoi̛. Tiểu-sủ ̛ông Kha-Luân-Bá (""Christophe Colomb"")"
"book","Lu ̛Tín","Nhân đạo"
"book","","Tân Quốc dân 
"book","","Thần cộng-hoà Sái-Ngạc"
"book","Linebarger, Paul Myron"
"book","Trần-Hoàng-Nam","Giọt lụy thuơn̛g-tâm..."
"book","Phạm-Minh Kiên","Phạm-Minh Kiên. Lê triêù Lý thị"
"book","","Bạch-xà thanh-xà diền nghĩa"
"book","","Hiệp nghĩa phong nguyêt..."
"book","Vô Lộ, Gabriel"
"book","","Tái-sanh-duyên..."
"book","Lâm, Nguơn̛ Hậu"
"book","Ðặng, Lê ̃ Nghi"
"book","","Chàng Nhái Kiễn Tiên tho ̛ :  Bốn cũ soạn lại"
"book","Ðặng, Trọng Quòn̛"
"book","","Lý Công tho ̛"
"book","","Phan-công tho ̛"
"book","","Phi-Long diền nghĩa"
"book","","Tam hạ nam đuờn̛g diễn nghĩa..."
"book","Ðặng, Lê ̃ Nghi"
"book","","Tú ̛đại kỳ tho ̛... :  Bổn cũ diễn chánh..."
"book","Phụng-Hoáng-Sang","Túy kiều phú in lần thứ tư
"book","Ðặng, Tâń Tài"
"book","","Cháng Nhái Kiển Tiên tho ̛... :  Bốn cũ soạn lại"
"book","","Chàng-Nhái Kiển Tiên tho ̛ :  Bổn cũ soạn lại"
"book","Ðặng, Lê ̃ Nghi; Ðinh
"book","Ðặng, Trọng Quòn̛"
"book","","Lý-Công tho ̛"
"book","","Nhị thập tú ̛hiếu"
"book","","Nhị Thập Tú ̛Hiếu"
"book","","Sãi vãi luận-đàm. Dịch-giả : Lê-Duy-Thiện"
"book","Ðặng, Lê ̃ Nghi"
"book","Ðặng, Văn Bá; Ðinh
"book","Nguyễn, Hũư Chẩn"
"book","Ðặng, Trọng Quòn̛"
"book","Nguyễn, Hũư Chẩn"
"book","Ðặng, Tâń Tài"
"book","","Mụ Ðội..."
"book","Ðặng, Lê ̃ Nghi"
"book","Phan, Bội Châu"
"book","","Nhị thập tú ̛hiếu"
"book","","Phi-Long diền nghĩa"
"book","Huỳnh, Liên Taì"
"book","Nguyêñ, Chánh Săt́"
"book","","Chàng-Nhái Kiển Tiên tho ̛ :  Bổn cũ soạn lại"
"book","Ðặng, Lê ̃ Nghi; Ðinh
"book","","Nhị thập tú ̛hiếu"
"book","","Sãi vãi luận-đàm. Dịch-giả : Lê-Duy-Thiện"
"book","Ðặng, Văn Bá; Ðinh
"book","","Son̛ Hậu..."
"book","Ðặng, Lê ̃ Nghi"
"book","Phạm, Quang Tụ ̛"
"book","","Sàigòn Chọl̛ón̛ :  guide des rues"
"book","Ðặng, Lê ̃ Nghi"
"book","Lê, Văn Tiếng"
"book","Lê, Son̛ Tòng"
"book","Việt Ðông","Thanh guơm̛ hiêp sî..."
"book","Nguyễn, Công Manh"
"book","Huỳnh, Viên Nghi"
"book","Lê, Văn Tiếng"
"book","Lê, Văn Tiếng"
"book","Ðặng, Lê ̃ Nghi"
"book","Nguyêñ, Công Chánh"
"book","Phụng-Hoáng-Sang","Chuyện. Tiều lâm... chú bút : Phụng-hoàng-Sang
"book","Lê, Văn Tiếng"
"book","Phan, Ðình Long"
"book","Phan, Ðình Long"
"book","","Lâm-Sanh Xuân-Nuơn̛g..."
"book","","Lục-Vân Tiên"
"book","Lâm, Hoài Nghĩa"
"book","Trung-Trắc","Ngọn duốc của thiền..."
"book","Ðặng, Lê ̃ Nghi"
"book","","Quan-Âm diễn ca..."
"book","","Sáu Nho ̛"
"book","Ðinh, Thái Sơn"
"book","","Tam-Nuơn̛g tho ̛"
"book","Nguyên, Van Khoe"
"book","Trâǹ, Phong Săć"
"book","","Trần Minh khố chuối :  Bổn cũ soạn lại..."
"book","Ðặng, Lê ̃ Nghi"
"book","","Tuồng Tú ̛-Linh"
"book","Lê, Văn Tiếng"
"book","Ðặng, Lê ̃ Nghi"
"book","","Chiêu-Quân cống Hồ..."
"book","Phụng Hoàng Sang; Duơn̛g, Diệp"
"book","Phụng Hoàng Sang","Chuyện tiếu-lâm..."
"book","Ðặng, Lê ̃ Nghi"
"book","Lê, Văn Tiếng"
"book","Lâm, Hoài Nghĩa"
"book","Lâm, Hoài Nghĩa"
"book","Trâǹ, Phong Săć"
"book","","Lâm-Sanh Lâm Thoại..."
"book","Lâm, Hoài Nghĩa"
"book","Lâm, Hoài Nghĩa"
"book","Ðặng, Lê ̃ Nghi"
"book","","Ngọc-Cam Ngọc-Khổ :  Ðặng-lễ-Nghi
"book","Lê, Văn Tiếng"
"book","","Quan-Âm diễn ca :  Bổn cũ soạn lại"
"book","Trâǹ, Phong Săć"
"book","Trâǹ, Phong Săć"
"book","Ðinh, Thái Sơn"
"book","Ðinh, Thái Sơn"
"book","Ðông, Hải"
"book","D. T. B","Tho ̛Sáu nhỏ tân soạn"
"book","","Thuận-Trị quá giang"
"book","Trâǹ, Phong Săć"
"book","","Tú ̛-Linh"
"book","Ðặng, Lê ̃ Nghi"
"book","Ðặng, Lê ̃ Nghi"
"book","","Vạn-Huê-Lầu diễn-nghĩa"
"book","","Vân-Tiên ghiền..."
"book","Lê, Văn Tiếng"
"book","Nguyên, Hiên Phu"
"book","Trần-Hoàng-Nam","Bá Ngọc-Suơn̛g kiên trinh tụ ̛tủ ̛..."
"book","Trần-Hoàng-Nam","Bá Ngọc-Suơn̛g kiên trinh tụ ̛tủ ̛..."
"book","","Bài ca cải-luơn̛g..."
"book","","Bài ca cải-luơn̛g..."
"book","Trần-Hoàng-Nam","Bên tình bên hiếu..."
"book","Ðặng, Lê ̃ Nghi"
"book","Nguyêñ, Công Chánh"
"book","","Chiêu-quân cống Hồ :  bổn cũ soạn lại"
"book","Phụng-Hoáng-Sang","Chuyện. Tiều lâm... chú bút : Phụng-hoàng-Sang
"book","Phụng Hoàng Sang","Chuyện tiếu lâm..."
"book","","Con Tấm con Cám :  tho ̛"
"book","","Ðõ̂ Thập-Nuơn̛g..."
"book","Trâǹ, Phong Săć"
"book","Ngô-Vinh-Khang","Hiệp-nũ ̛báo phụ cùư"
"book","Nguyên, Hiên Phu"
"book","","Hoàng Trùư tho ̛..."
"book","Trần-Hoàng-Nam","La-Côn lâm nạn..."
"book","Ngô-Vinh-Khang","La-Thành thọ tiễn"
"book","","Lâm Sanh Lâm Thoại"
"book","","Lục Vân Tiên"
"book","","Muc-Liên Thanh-Ðề tho ̛ :  bổn củ soạn lại"
"book","","Ngọc-Cam Ngọc-Khố"
"book","","Phạn Công Tho ̛"
"book","Lê, Văn Tiếng"
"book","Ðinh, Thái Sơn"
"book","Ðinh, Thái Sơn"
"book","","Sáu Trọng tho ̛"
"book","","Tam-nuơn̛g tho ̛"
"book","Nguyên, Van Khoe"
"book","Nguyên, Van Khoe"
"book","Nguyên, Văn Năm"
"book","Nguyên, Văn Năm"
"book","Trần-Hoàng-Nam","Tình hiếu vẹn hai..."
